uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	66.89	72.78	5.89	49.26	69.21	19.96	0	100	100	广0王，我也是	I'm also one of them	广陵王，我也是	Marquise of Guangling, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	95.95	100.00	4.05	67.44	85.30	17.86	100	100	0	3Q 祝你新年快乐 🎊🐍	Thank you for a happy new year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.47	92.16	2.69	80.85	85.02	4.17	0	100	100	我的玛雅太美了	My Maya is too beautiful	我的妈呀太美了	My goodness, she's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	74.38	71.78	-2.60	56.30	62.01	5.71	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have a profile picture of someone with a smooth journey, smooth water, and a favorable wealth god, like郝性?	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of a surname Hao person who has favorable winds, smooth waters, and the god of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	88.78	90.29	1.52	82.97	80.71	-2.25	0	0	0	➗25家政 15洗衣  10洗车	25 home services 15 laundry 10 car wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	65.90	98.64	32.74	48.33	85.13	36.80	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Thanks, Ma Ya, for the labor of love 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	85.60	92.40	6.81	68.54	75.21	6.66	0	100	100	似吧我不拦你	It seems okay, I won't stop you	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	79.33	94.17	14.84	54.42	73.14	18.72	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hale hale, welcome welcome warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	36.50	92.38	55.87	51.97	73.23	21.26	0	0	0	国际大厦比	The International Building is taller than	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	64.74	84.31	19.58	58.08	78.41	20.33	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah ah give Qing Lan ee eat	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	69.83	76.48	6.64	48.33	70.69	22.36	0	100	100	啊啊啊啊啊豆儿康康我	Oh oh oh oh oh, take care of me, little bean	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, Bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	88.15	97.02	8.86	51.86	84.38	32.51	100	100	0	蟹蟹宝宝夸奖	Thank you baby for the compliment	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	85.76	100.00	14.24	73.02	85.85	12.83	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Lao Si!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	63.80	83.54	19.75	47.28	54.69	7.41	100	100	0	大鸡毛（大金毛）	Big chicken feathers (big golden retriever)	大金毛（大金毛）	Large Golden Retriever (Large Golden Retriever)	A big golden retriever (a big golden retriever).
