uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	56.51	72.78	16.27	48.82	69.21	20.39	0	100	100	广0王，我也是	Broadly speaking, I am also one of them.	广陵王，我也是	Marquise of Guangling, I am also.	Prince of Guangling, same here.
A-HOM-002	HOM	95.95	100.00	4.05	67.44	85.30	17.86	100	100	0	3Q 祝你新年快乐 🎊🐍	Thank you for a happy new year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	83.22	92.16	8.94	74.36	85.02	10.66	0	100	100	我的玛雅太美了	My momma is so beautiful	我的妈呀太美了	My goodness, she's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	72.70	71.78	-0.92	51.88	62.01	10.13	100	0	-100	有顺风顺水顺财神的郝性头像吗？	Are there any profile pictures of people with the surname Hao who are smooth in fortune, smooth in water, and have the god of wealth?	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of a surname Hao person who has favorable winds, smooth waters, and the god of wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	89.40	90.29	0.89	63.36	80.71	17.36	100	0	-100	➗25家政 15洗衣  10洗车	For sale: 25 housekeeping, 15 laundry, 10 car wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	74.56	98.64	24.08	66.93	85.13	18.20	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Ma ya, thank you, Lao Si 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my goodness, thank you, teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	80.96	92.40	11.45	51.99	75.21	23.22	0	100	100	似吧我不拦你	As if I would stop you	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	88.63	94.17	5.54	56.90	73.14	16.25	100	100	0	哈雷哈雷，欢迎欢迎热烈欢迎	Hello hello, welcome welcome warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	39.28	92.38	53.09	48.20	73.23	25.03	0	0	0	国际大厦比	The international building is worse than	国际大傻逼	International Idiot	A world-class dumbass.
A-HOM-010	HOM	82.88	84.31	1.43	66.91	78.41	11.49	100	0	-100	啊啊啊啊给青兰ee吃	Ah ah ah ah give Qing Lan Auntie to eat	啊啊啊啊给青兰阿姨吃	Oh oh oh oh, give it to Aunt Qinglan!	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	52.38	76.48	24.10	36.98	70.69	33.71	100	100	0	啊啊啊啊啊豆儿康康我	Oh oh oh oh oh bean look look at me	啊啊啊啊啊豆儿看看我	Oh oh oh oh oh, Bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	85.82	97.02	11.20	56.80	84.38	27.57	100	100	0	蟹蟹宝宝夸奖	Thank you, baby, for your praise	谢谢宝宝夸奖	Thank you for your compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	99.36	100.00	0.64	54.52	85.85	31.33	100	100	0	啊！谢谢劳斯！	Ah! Thank you, teacher!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	67.48	83.54	16.06	44.12	54.69	10.57	0	100	100	大鸡毛（大金毛）	Big golden hair (big golden dog)	大金毛（大金毛）	Large Golden Retriever (Large Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	94.49	98.68	4.18	79.81	85.13	5.32	100	0	-100	每个月不用给chatgpt交20刀了	You no longer need to pay 20 dollars each month for chatgpt	每个月不用给chatgpt交20美元了	You no longer need to pay $20 to ChatGPT every month.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	97.51	98.97	1.46	43.72	78.98	35.26	100	0	-100	这就是史	This is shit	这就是屎	That's crap.	This is literally shit.
A-NEO-253	NEO	78.13	91.81	13.69	76.10	76.62	0.52	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Know why his parents accepted him as 0 and cooperated to take videos? The reason is actually...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and even agreed to film videos? The reason is actually...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
