uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	69.53	92.34	22.81	72.34	75.02	2.68	0	100	100	广岛王，我也是	Hiroshima Wang, me too	广陵王，我也是	Prince Guangling, me too.	Prince of Guangling, same here.
A-HOM-002	HOM	99.75	99.75	0.00	85.42	85.42	0.00	100	100	0	谢谢 祝你新年快乐 🎊🐍	Thank you, and happy new year to you! 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, and happy new year to you! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	98.29	8.31	81.09	84.19	3.10	0	100	100	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My goodness, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	61.79	90.24	28.45	54.70	69.87	15.17	0	0	0	有顺风顺水顺财神的好心头像吗？	Do you have a good headshot that brings smooth sailing, good fortune, and wealth?	有顺风顺水顺财神的郝姓头像吗？	Are there any Hao surname avatars that symbolize smooth sailing, good fortune, and prosperity?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	87.92	92.56	4.65	81.64	80.55	-1.09	0	0	0	➗25家政 15洗衣  10洗车	25 Housekeeping 15 Laundry 10 Car Wash	出售25家政 15洗衣  10洗车	Selling 25 housekeeping services, 15 laundry services, 10 car washes	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	70.14	82.42	12.28	66.05	80.74	14.69	0	0	0	麻烦，谢谢啦🥺❤️❤️❤️	Trouble, thank you so much🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Mom, thank you, teacher🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	89.87	97.64	7.77	78.08	77.87	-0.22	0	100	100	似吧我不拦你	Maybe, but I won't stop you.	死吧我不拦你	Die then, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	80.11	93.93	13.82	75.47	66.96	-8.51	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hale Hale, welcome, welcome, warm welcome	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome a warm welcome	Hello, hello—a very warm welcome!
A-HOM-009	HOM	35.62	92.36	56.75	49.75	68.25	18.51	0	0	0	国际大厦比	International Mansion is taller than	国际大傻逼	International big idiot	A world-class dumbass.
A-HOM-010	HOM	89.64	89.09	-0.55	56.07	70.51	14.44	0	100	100	啊啊啊啊给青兰点吃	Ah, feed some to Qinglan.	啊啊啊啊给青兰阿姨吃	Ah, give it to Auntie Qinglan to eat.	Give Auntie Qinglan something to eat!
