uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	69.68	75.73	6.05	44.98	60.30	15.33	0	0	0	广0王，我也是	Bing, I am too.	广陵王，我也是	The Grand Duke, I am too.	Prince of Guangling, same here.
A-HOM-002	HOM	90.75	99.83	9.08	81.91	84.90	2.99	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you, have a happy New Year 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	88.01	87.29	-0.71	80.43	87.28	6.85	0	0	0	我的玛雅太美了	My Maya was beautiful.	我的妈呀太美了	My mom is so beautiful.	Oh my God, mine is so beautiful!
A-HOM-004	HOM	57.15	55.46	-1.69	47.91	49.16	1.25	0	0	0	有顺风顺水顺财神的郝性头像吗？	"Is there a picture of a person with a ""Hei"" (Hui) head with a wind and rain and fortune?"	有顺风顺水顺财神的郝姓头像吗？	Is there a portrait of the Xie surname with a wind and rain and a lucky number?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	90.00	75.17	-14.82	83.28	78.32	-4.96	0	0	0	➗25家政 15洗衣  10洗车	25 home services, 15 laundry, 10 car wash	出售25家政 15洗衣  10洗车	Sell 25 businesses, 15 laundry, and 10 car washes.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	76.19	87.05	10.86	59.81	81.46	21.65	0	0	0	马牙，谢谢劳斯🥺❤️❤️❤️	Mawar, thank you for your help 😊❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh, thank you, sweetheart. ❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	89.44	91.86	2.42	58.67	59.72	1.05	0	0	0	似吧我不拦你	I don't stop you.	死吧我不拦你	I don't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	79.26	79.57	0.31	74.47	66.00	-8.46	0	0	0	哈雷哈雷，欢迎欢迎热烈欢迎	Hare hare, welcome, welcome, welcome.	你好你好，欢迎欢迎热烈欢迎	Hello, welcome, welcome, and welcome.	Hello, hello—a very warm welcome!
A-HOM-009	HOM	48.66	93.01	44.34	47.28	70.07	22.79	0	0	0	国际大厦比	International Building	国际大傻逼	International idiot	A world-class dumbass.
A-HOM-010	HOM	77.47	72.70	-4.78	71.26	58.31	-12.95	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah ah, give Qianlan ee a bite.	啊啊啊啊给青兰阿姨吃	Ah ah ah, please have the Qian Lan's food.	Give Auntie Qinglan something to eat!
