uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	76.28	83.34	7.07	59.45	75.12	15.66	0	100	100	广0王，我也是	Brother Guang, I am also.	广陵王，我也是	Prince Guangling, I am too.	Prince of Guangling, same here.
A-HOM-002	HOM	92.56	98.99	6.44	83.85	86.02	2.17	0	100	100	3Q 祝你新年快乐 🎊🐍	3Q Wishing you a Happy New Year 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you! Wishing you a happy new year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.98	98.29	8.31	81.09	84.19	3.10	0	100	100	我的玛雅太美了	My Maya is too beautiful.	我的妈呀太美了	My goodness, it's so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	67.24	81.13	13.89	57.63	62.33	4.70	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have a headshot of Hao Xing who has smooth winds, smooth waters, and the God of Wealth?	有顺风顺水顺财神的郝姓头像吗？	Do you have a Hao surname avatar with smooth winds, smooth waters, and the God of Wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	87.96	85.88	-2.09	79.82	72.88	-6.95	0	0	0	➗25家政 15洗衣  10洗车	⊘25 Housekeeping 15 Laundry 10 Car Wash	出售25家政 15洗衣  10洗车	Sell 25 housekeeping, 15 laundry, 10 car wash.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	66.17	88.37	22.20	77.42	83.96	6.55	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Mama, thank you, Rous 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my mom, thank you teacher 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	83.83	92.40	8.57	79.46	75.21	-4.25	0	100	100	似吧我不拦你	Okay, I guess I won't stop you.	死吧我不拦你	Die, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	81.53	90.63	9.11	77.59	78.15	0.56	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hale Hale, welcome, warm welcome!	你好你好，欢迎欢迎热烈欢迎	Hello, hello! Welcome, welcome, warm welcome!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	38.60	92.36	53.76	47.43	68.25	20.83	0	0	0	国际大厦比	International Building is taller than	国际大傻逼	International big idiot	A world-class dumbass.
A-HOM-010	HOM	84.48	88.44	3.96	69.28	76.47	7.19	0	0	0	啊啊啊啊给青兰ee吃	Ah ah ah ah, give Qinglan ee to eat.	啊啊啊啊给青兰阿姨吃	Ah ah ah ah, give Aunt Qinglan some to eat.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	62.28	81.78	19.50	45.51	61.53	16.02	0	100	100	啊啊啊啊啊豆儿康康我	Ah ah ah ah ah, Dou'er Kang Kang me.	啊啊啊啊啊豆儿看看我	Ah ah ah ah ah, Dou'er, look at me.	Dou'er, take a look at me!!!
A-HOM-012	HOM	88.30	97.03	8.73	51.94	83.93	31.99	100	100	0	蟹蟹宝宝夸奖	Thank you baby for the compliment.	谢谢宝宝夸奖	Thank you, baby, for the compliment.	Thanks, babe, for the compliment.
A-HOM-013	HOM	85.76	100.00	14.24	73.02	85.85	12.83	0	100	100	啊！谢谢劳斯！	Ah! Thank you, Lao Si!	啊！谢谢老师！	Ah! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	55.56	81.85	26.28	63.23	58.48	-4.75	0	100	100	大鸡毛（大金毛）	Big chicken feather (Big golden feather)	大金毛（大金毛）	Big Golden Retriever (Big Golden Retriever)	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	96.89	98.29	1.40	81.42	84.11	2.69	0	0	0	每个月不用给chatgpt交20刀了	No longer need to pay $20 a month for ChatGPT.	每个月不用给chatgpt交20美元了	No longer need to pay $20 a month for ChatGPT.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.70	13.18	83.83	77.47	-6.36	0	100	100	这就是史	This is history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	81.96	89.30	7.33	78.12	77.08	-1.03	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and even cooperated in making videos? The reason is...	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Do you know why his parents accepted him and even cooperated in making videos? The reason is...	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	84.72	78.84	-5.88	74.63	75.88	1.25	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanger!! There are 7 or 8 different scents, all very unique. They are not the strong type, and the light, faint fragrance hanging in the wardrobe is very soothing! Every time I go to Xiao Han, I always stock up a bunch!!!!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hanger!! There are 7 or 8 different scents, all very unique. They are not the strong type, and the light fragrance hanging in the wardrobe is very soothing! Every time I go to Xiao Han, I always stock up a bunch!!!!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	64.19	83.47	19.28	45.91	66.65	20.74	0	100	100	小窗口dd你吧	Small window dd you?	小窗口联系你吧	Contact you through the small window.	I'll DM you.
A-PYA-002	PYA	40.07	87.35	47.27	77.40	82.21	4.81	0	0	0	350 q安	350 qA	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	95.21	99.75	4.54	83.17	87.51	4.34	0	100	100	我喜欢你 CPDD	I like you CPDD	我喜欢你 想和你谈恋爱	I like you. I want to date you.	I like you—want to date?
A-PYA-004	PYA	95.37	98.46	3.09	79.33	75.63	-3.70	0	0	0	好可爱cpdd...	So cute, CPDD...	好可爱想找对象...	So cute, looking for a partner...	So cute—looking for someone to date...
A-PYA-005	PYA	88.77	95.36	6.59	65.96	81.12	15.16	0	100	100	Chuan搭🔴⚪️红白配	Chuan wears red and white.	穿搭🔴⚪️红白配	Outfit 🔴⚪️ Red and white combination	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	91.85	97.54	5.69	81.05	77.82	-3.23	100	100	0	xhs是得加个翻译功能了	XHS needs to add a translation feature.	小红书是得加个翻译功能了	Xiaohongshu needs to add a translation feature.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	64.31	64.55	0.24	65.91	64.73	-1.18	100	100	0	愿逆风如解意，蛇年多挣RMB	May the contrary wind understand your intention, and in the Year of the Snake, earn more RMB.	愿逆风如解意，蛇年多挣人民币	May the contrary wind understand your intention, and in the Year of the Snake, earn more RMB.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	75.61	65.96	-9.65	76.36	65.22	-11.14	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	Say WOC and NB welcome to China for tourism and making friends.	说 我操 和 NB 欢迎来中国旅游和交朋友	"Say ""I'm so excited"" and ""NB"" - Welcome to China for tourism and making friends."	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	30.50	38.11	7.61	55.33	64.65	9.32	100	100	0	还是得看对口白话 对口白话兄弟yyds	Still, it's all about the spoken word. Spoken word brothers are yyds.	还是得看对口白话 对口白话兄弟永远的神	Still, it's all about the spoken word. The spoken word brothers are forever the gods.	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	93.98	96.22	2.24	76.96	77.93	0.98	0	0	0	一打开小红书发现变成国际版le	As soon as I opened Xiaohongshu, it had become the international version.	一打开小红书发现变成国际版了	As soon as I opened Xiaohongshu, it had turned into the international version.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	68.25	94.63	26.38	75.31	72.70	-2.61	100	100	0	💙15w左右女生建议入手的BBA二手车	💙 Used BBA cars recommended for girls around 15 years old	💙15万左右女生建议入手的BBA二手车	💙 Used BBA cars recommended for women with a budget of around 150,000 yuan	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	67.40	63.27	-4.13	57.02	57.69	0.67	0	0	0	上次还有人说瘦的是P的 搞不懂根本搞不懂	Last time someone still said the thin one was P's, can't understand it at all, really can't understand.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Last time someone still said the slim one was edited, can't understand it at all, just can't understand.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	62.36	94.08	31.71	62.67	58.16	-4.51	0	100	100	中中中哦[doge]	Zhong Zhong Zhong oh [doge]	好好好哦[doge]	Okay okay okay [doge]	Okay, okay, okay [doge].
A-NEO-002	NEO	82.12	99.40	17.28	78.54	84.39	5.85	0	0	0	噗哈哈哈还是你6666	Haha, you're still 6666.	噗哈哈哈还是你最厉害	Haha, you're still the best!	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	91.92	89.76	-2.16	65.92	76.26	10.34	0	100	100	想到他们的“快乐水”	"Thinking of their ""happy water"""	想到他们的“可乐”	"Thinking of their ""Coca-Cola"""	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	55.95	71.35	15.40	40.06	40.25	0.19	0	0	0	来了中中中	Come on, Zhongzhong.	来了好好好	Come, good good good.	I'm here—okay, okay, okay!
A-NEO-005	NEO	88.36	96.56	8.20	56.55	74.12	17.57	0	0	0	割肉？22年1.1买的，1.7算割肉吗	Cutting losses? Bought at 1.1 in 2022, is selling at 1.7 considered cutting losses?	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Selling at a loss? I bought it at 1.1 in 2022, is selling at 1.7 considered a loss?	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
