uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	40.16	64.16	24.00	38.64	66.73	28.09	0	100	100	广0王，我也是	"Wide zero king, me too. 

(Note: This is a literal translation. ""广0王"" is likely internet slang or a nickname and doesn't have a standard meaning. The translation reflects the characters as they are.)"	广陵王，我也是	"I, too, am the Prince of Guling. 

(Or, more colloquially: I am also the Prince of Guling.)"	Prince of Guangling, same here.
A-HOM-002	HOM	98.58	100.00	1.42	69.98	85.84	15.86	100	100	0	3Q 祝你新年快乐 🎊🐍	Thank you and Happy New Year! 🎊🐍	谢谢 祝你新年快乐 🎊🐍	Thank you and Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	86.65	-3.34	83.22	77.73	-5.49	0	100	100	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	"Oh my god, she's so beautiful! 

(or, a more colloquial/internet-slang translation: Oh my gosh, she's stunning!)"	Oh my God, mine is so beautiful!
A-HOM-004	HOM	73.84	81.90	8.06	59.84	63.43	3.58	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have a lucky profile picture that brings favorable winds, smooth sailing, and wealth from the God of Wealth?	有顺风顺水顺财神的郝姓头像吗？	Do you have a Hao surname avatar that brings favorable winds, smooth sailing, and wealth from the God of Wealth?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	86.02	91.01	5.00	65.74	80.72	14.98	0	0	0	➗25家政 15洗衣  10洗车	Dividing 25 housekeeping services, 15 laundry services, and 10 car washing services.	出售25家政 15洗衣  10洗车	Selling 25 housekeeping services, 15 laundry services, 10 car wash services.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	57.14	98.23	41.09	74.86	85.07	10.22	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Mayah, thank you, Rauss🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my gosh, thank you teacher! 🥺❤️❤️❤️	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	86.24	97.64	11.41	50.53	77.87	27.34	0	100	100	似吧我不拦你	Sounds good, go ahead.	死吧我不拦你	Die then, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	80.90	95.44	14.54	75.91	73.58	-2.32	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hooray, hooray, welcome, welcome, a warm welcome!	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome welcome, a warm welcome!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	44.64	55.03	10.39	46.32	33.23	-13.09	0	0	0	国际大厦比	International Building is taller than...	国际大傻逼	"international big idiot



**Please be aware:** This phrase is extremely vulgar and offensive in Chinese. I have provided a direct translation to fulfill the request, but I strongly advise against using it. My purpose is to provide accurate translations, even of offensive content, while also acknowledging its harmful nature."	A world-class dumbass.
A-HOM-010	HOM	67.95	71.73	3.79	74.76	76.01	1.25	0	0	0	啊啊啊啊给青兰ee吃	Ah, ah, ah, ah, give Qinglan ee something to eat.	啊啊啊啊给青兰阿姨吃	Ah, ah, ah, ah, give it to Aunt Qinglan to eat.	Give Auntie Qinglan something to eat!
