uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-233	NEO	52.94	xcomet/kiwi Δ disagree by 52.9	吃瓜吃到自己身上……	Eat the melon until it gets on your own body...
A-NEO-007	NEO	44.19	xcomet/kiwi Δ disagree by 44.2	巴拉巴拉说的啥	What does Balabala say?
A-NEO-178	NEO	40.96	xcomet/kiwi Δ disagree by 41.0	分享一个桃花的玄学真相	Share a mystical truth about peaches.
A-NEO-072	NEO	39.17	xcomet/kiwi Δ disagree by 39.2	什么刀子都有[doge]	What knife there is [doge]
A-HOM-009	HOM	38.40	xcomet/kiwi Δ disagree by 38.4	国际大厦比	The International Building is taller than
A-NEO-068	NEO	37.31	xcomet/kiwi Δ disagree by 37.3	借楼蹲！！！	Stay in the building!
A-MIX-051	MIX	35.99	xcomet/kiwi Δ disagree by 36.0	GRWM*🦹🏻‍♀️🏳️‍⚧️毛绒穿出街👊🏻	GRWM* CUTE GIRL 👊
A-HOM-012	HOM	35.22	xcomet/kiwi Δ disagree by 35.2	蟹蟹宝宝夸奖	Thanks, baby!
A-MIX-044	MIX	33.54	xcomet/kiwi Δ disagree by 33.5	想大海和sun kissed life	Imagine the sea and sun-kissed life.
A-NEO-009	NEO	32.93	xcomet/kiwi Δ disagree by 32.9	交?已关[doge]	What? Already closed [doge]
A-NEO-236	NEO	31.32	xcomet/kiwi Δ disagree by 31.3	全是大漏勺	All are big ladles.
A-NEO-155	NEO	30.11	xcomet/kiwi Δ disagree by 30.1	香港铜锣湾西太后探店🪐｜多图预警	Hong Kong Tung Lo Wan West - Auntie's Restaurant Tour 🪐 | Multiple Photos Warning
A-MIX-006	MIX	28.52	xcomet/kiwi Δ disagree by 28.5	请你说英语，speeekyingyu	Please speak English, speakingyu.
A-NEO-015	NEO	26.20	xcomet/kiwi Δ disagree by 26.2; xcomet_noisy 80.3 but NTA miss	蹲蹲哈哈	Dun dun ha ha.
A-HOM-006	HOM	26.10	xcomet/kiwi Δ disagree by 26.1	马牙，谢谢劳斯🥺❤️❤️❤️	Mawya, thanks, Lou! ❤️❤️❤️
A-NEO-058	NEO	25.57	xcomet/kiwi Δ disagree by 25.6	看预算，直接r1+r52+大三元最优	Look at the budget, directly r1 + r52 + the best three-tier.
A-MIX-029	MIX	25.35	xcomet/kiwi Δ disagree by 25.3	#ENFJ型人格	ENFJ personality type
A-NEO-097	NEO	24.92	xcomet/kiwi Δ disagree by 24.9	看完 杀面包 来看看我拍的邓紫棋巴黎演唱会吧沉浸式体验哦耶✌️！我会持续更新🇩🇪留学生活欧洲旅游vlog！入股不亏	"Watch ""Kill the Bread"" and then check out the concert video I filmed of G.E.M. at the Paris concert! Immersive experience! Yay! ✌️ I will continue to update my 🇩🇪 study abroad life and Europe travel vlogs! Invest without loss!"
A-NEO-066	NEO	24.40	xcomet/kiwi Δ disagree by 24.4	狼青土松弟弟	Wolf Qingtong's younger brother
A-NEO-140	NEO	24.03	xcomet/kiwi Δ disagree by 24.0	这种健身又健脑的地方真的是牛马周末顶配	This fitness and brain-boosting place is really top-tier for weekends.
A-PYA-015	PYA	23.61	xcomet/kiwi Δ disagree by 23.6; xcomet_noisy 82.8 but NTA miss	已关注qiu fen xiang	Already followed qiu fen xiang
A-MIX-001	MIX	23.33	xcomet/kiwi Δ disagree by 23.3	K宝，冰上的精灵	K宝, the Sprite on Ice
A-MIX-025	MIX	22.75	xcomet/kiwi Δ disagree by 22.8	“我是ENTP”接下来，生成一朵关于它的花：	I am an ENTP. Next, generate a flower about it:
A-NEO-018	NEO	22.45	xcomet/kiwi Δ disagree by 22.4	老六，666	Old Six, 666
A-NEO-205	NEO	22.43	xcomet/kiwi Δ disagree by 22.4	梦女&追星女发的文案	Dream girl & star chasing girl's captions
A-NEO-201	NEO	22.27	xcomet/kiwi Δ disagree by 22.3	？ 谁允许你在海洋馆最经典景观只放一半水的	Who allowed you to only fill half the water in the most classic attraction of the aquarium?
A-PYA-011	PYA	21.52	xcomet/kiwi Δ disagree by 21.5	💙15w左右女生建议入手的BBA二手车	💙15w左右女生建议入手的BBA二手车
A-NEO-022	NEO	21.24	xcomet/kiwi Δ disagree by 21.2; xcomet_noisy 87.5 but NTA miss	宝宝黄色毛衣有链接吗	Does the yellow baby sweater have a link?
A-NEO-095	NEO	21.02	xcomet/kiwi Δ disagree by 21.0	细思极恐 咋给一种放大版园区感	Think deeply and it's terrifying, how to give a scaled-up park feeling.
A-MIX-002	MIX	20.92	xcomet/kiwi Δ disagree by 20.9	图fine秒mine[doge]	Fine, I'll take it. [doge]
A-NEO-001	NEO	20.46	xcomet/kiwi Δ disagree by 20.5	中中中哦[doge]	Zong zong zong oh [doge]
A-NEO-035	NEO	20.36	xcomet/kiwi Δ disagree by 20.4; xcomet_noisy 85.3 but NTA miss	蹲蹲，南南新年快乐	Dun dun, Nan Nan, Happy New Year!
A-NEO-041	NEO	20.30	xcomet/kiwi Δ disagree by 20.3; xcomet_noisy 89.5 but NTA miss	老师我也想要你	Teacher, I also want you.
A-NEO-046	NEO	20.29	xcomet/kiwi Δ disagree by 20.3	接接接 借你吉言	Jiyan, borrow it.
A-PYA-014	PYA	20.18	xcomet/kiwi Δ disagree by 20.2	a萍五官挺好的	A ping has good features.
A-HOM-017	HOM	19.54	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-108	NEO	19.12	xcomet_noisy 83.7 but NTA miss	又要威又要带头盔就是这种	You have to be tough and wear a helmet.
A-NEO-162	NEO	17.38	xcomet_noisy 86.5 but NTA miss	我的病娇猫，爱得太沉重。	My obsessive cat, love is too heavy.
A-NEO-054	NEO	16.78	xcomet_noisy 82.8 but NTA miss	第三个我推	The third one I push.
