uid	category	severity	reasons	src_noisy	hyp_noisy
A-PYA-011	PYA	59.29	xcomet/kiwi Δ disagree by 59.3	💙15w左右女生建议入手的BBA二手车	"BMW, Audi, and Mercedes-Benz used cars recommended for women around 150-165cm (approximately 4'11"" - 5'5"") in height."
A-NEO-162	NEO	40.31	xcomet/kiwi Δ disagree by 40.3	我的病娇猫，爱得太沉重。	My yandere cat loves too intensely.
A-NEO-139	NEO	38.10	xcomet/kiwi Δ disagree by 38.1	轻奢老钱｜贵在气质	"Quiet luxury/Old money aesthetic | It's about the vibe/aura. 

(Or, more concisely)

Quiet luxury | It's all about the aura."
A-MIX-050	MIX	32.46	xcomet/kiwi Δ disagree by 32.5	一寒出生前4h	4 hours before the first chill/cold snap.
A-NEO-090	NEO	32.26	xcomet/kiwi Δ disagree by 32.3	永远抄底	Always buy the dip.
A-NEO-143	NEO	32.03	xcomet/kiwi Δ disagree by 32.0; xcomet_noisy 85.5 but NTA miss	我发现跳舞可以旺自己！！！	"I've discovered that dancing boosts my energy/aura/positive vibes!!! 

(Note: ""旺自己"" is a colloquialism meaning to enhance one's own energy, luck, or overall well-being. The best English equivalent depends on context, but the options above capture the spirit.)"
A-HOM-006	HOM	30.87	xcomet/kiwi Δ disagree by 30.9	马牙，谢谢劳斯🥺❤️❤️❤️	Mayah, thank you, Rauss🥺❤️❤️❤️
A-NEO-128	NEO	30.46	xcomet/kiwi Δ disagree by 30.5; xcomet_noisy 93.8 but NTA miss	幸福到冒泡🫧	So happy I could burst (with joy)!
A-NEO-035	NEO	29.66	xcomet/kiwi Δ disagree by 29.7; xcomet_noisy 85.0 but NTA miss	蹲蹲，南南新年快乐	Hang out for a bit, Nan Nan, Happy New Year!
A-NEO-072	NEO	29.65	xcomet/kiwi Δ disagree by 29.7	什么刀子都有[doge]	Everything but the kitchen sink.
A-MIX-025	MIX	28.65	xcomet/kiwi Δ disagree by 28.6	“我是ENTP”接下来，生成一朵关于它的花：	I am an ENTP. Now, generate a flower about it.
A-MIX-040	MIX	27.90	xcomet/kiwi Δ disagree by 27.9	小wieiad vlog 🖤	Little vlog 🖤
A-NEO-062	NEO	27.39	xcomet/kiwi Δ disagree by 27.4	蹲蹲拼320的	Squat 320. (This refers to squatting a weight of 320, likely kilograms or pounds, in weightlifting.)
