uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-072	NEO	45.32	xcomet/kiwi Δ disagree by 45.3	什么刀子都有[doge]	There's a knife for everything.
A-NEO-147	NEO	42.17	xcomet/kiwi Δ disagree by 42.2	做出了人生鸡小胸｜真的太嫩了🥹减脂绝佳	Made a life-changing decision | Seriously too immature 🥹 Best for fat loss
A-NEO-090	NEO	38.86	xcomet/kiwi Δ disagree by 38.9	永远抄底	Buy the dip forever.
A-PYA-005	PYA	33.82	xcomet/kiwi Δ disagree by 33.8; xcomet_noisy 88.5 but NTA miss	Chuan搭🔴⚪️红白配	Red and white pairing.
A-HOM-014	HOM	32.90	xcomet/kiwi Δ disagree by 32.9	大鸡毛（大金毛）	Big Golden Retriever
A-MIX-006	MIX	30.89	xcomet/kiwi Δ disagree by 30.9	请你说英语，speeekyingyu	Please speak English.
A-MIX-040	MIX	30.84	xcomet/kiwi Δ disagree by 30.8	小wieiad vlog 🖤	小wieiad vlog 🖤
A-NEO-103	NEO	30.58	xcomet/kiwi Δ disagree by 30.6; xcomet_noisy 82.7 but NTA miss	网友的成功让人宫寒	Other people's success makes me feel cold and detached.
A-PYA-008	PYA	28.61	xcomet/kiwi Δ disagree by 28.6	说 WOC 和 NB 欢迎来中国旅游和交朋友	"Saying ""WOC and NB, welcome to China for tourism and making friends."""
A-HOM-009	HOM	27.92	xcomet/kiwi Δ disagree by 27.9	国际大厦比	International Building is taller than
A-MIX-029	MIX	27.84	xcomet/kiwi Δ disagree by 27.8	#ENFJ型人格	ENFJ personality type
A-NEO-047	NEO	27.65	xcomet/kiwi Δ disagree by 27.6	瑶瑶公主，蹲蹲蹲蹲	Princess Yao Yao, squat, squat, squat, squat.
A-NEO-233	NEO	27.59	xcomet/kiwi Δ disagree by 27.6; xcomet_noisy 81.0 but NTA miss	吃瓜吃到自己身上……	Watching the drama unfold until it involves you.
A-NEO-040	NEO	27.38	xcomet/kiwi Δ disagree by 27.4	宝接昼吗	Are you having lunch now?
A-MIX-044	MIX	26.72	xcomet/kiwi Δ disagree by 26.7	想大海和sun kissed life	Longing for the sea and a sun-kissed life.
A-NEO-002	NEO	26.57	xcomet/kiwi Δ disagree by 26.6	噗哈哈哈还是你6666	Haha, you're amazing!
A-NEO-107	NEO	26.44	xcomet/kiwi Δ disagree by 26.4	原版在主页这条视频的上一条，淡淡人机感也是被姚润昊拿捏了	The previous video on the homepage, also with a subtle human-machine feel, was manipulated by Yao Runhao.
A-NEO-207	NEO	25.76	xcomet/kiwi Δ disagree by 25.8	🇺🇸留子自制巴斯克大成功！	Homemade Basque burnt cheesecake success for parents raising children in the US!
A-NEO-058	NEO	24.48	xcomet/kiwi Δ disagree by 24.5	看预算，直接r1+r52+大三元最优	Based on the budget, go directly with r1+r52+the best large ternary.
A-NEO-052	NEO	24.43	xcomet/kiwi Δ disagree by 24.4	嘤嘤嘤～～快回来	Whimper, whimper, whimper... please come back.
A-NEO-068	NEO	24.02	xcomet/kiwi Δ disagree by 24.0	借楼蹲！！！	Squatting in a borrowed apartment!
A-NEO-027	NEO	24.00	xcomet/kiwi Δ disagree by 24.0	卡皮巴拉土豆豚12星座插画头像表情包原创	Capybara potato pig 12 zodiac illustrations avatar emoji pack original
A-PYA-014	PYA	23.71	xcomet/kiwi Δ disagree by 23.7	a萍五官挺好的	She has quite attractive features.
A-NEO-016	NEO	23.55	xcomet/kiwi Δ disagree by 23.6	3.0下配套的限时常驻自选池子呀	The limited-time featured pool that comes with version 3.0.
A-NEO-042	NEO	23.11	xcomet/kiwi Δ disagree by 23.1; xcomet_noisy 91.7 but NTA miss	第二捏~欢迎欢迎	Welcome, welcome!
A-NEO-168	NEO	22.91	xcomet/kiwi Δ disagree by 22.9	老外已经在学习中国话这个事情上 卷起来了	Foreigners are really getting competitive about learning Chinese.
A-NEO-086	NEO	22.76	xcomet/kiwi Δ disagree by 22.8	我可以用左脚踩右脚，再用右脚踩左脚，一直踩到天空！	I can stomp my right foot with my left foot, then stomp my left foot with my right foot, stomping all the way to the sky!
A-NEO-030	NEO	22.22	xcomet/kiwi Δ disagree by 22.2	滴我滴我[doge]	Hit me up [doge]
A-HOM-011	HOM	22.02	xcomet/kiwi Δ disagree by 22.0	啊啊啊啊啊豆儿康康我	Oh oh oh oh oh, look at me, Bean!
A-NEO-178	NEO	21.67	xcomet/kiwi Δ disagree by 21.7	分享一个桃花的玄学真相	Sharing an esoteric truth about peach blossoms.
A-NEO-123	NEO	21.59	xcomet/kiwi Δ disagree by 21.6	沉浸式做4寸 周岁小蛋糕	Immersive 4-inch anniversary cakes.
A-NEO-024	NEO	20.95	xcomet/kiwi Δ disagree by 21.0	许愿温迪伴生金温迪宝宝保佑我	I wish for the Traveler and a companion Golden Traveler baby to protect me.
A-MIX-004	MIX	20.46	xcomet/kiwi Δ disagree by 20.5	王鹤棣黑夜告白杀青多机位完整版原声CUT	Wang Hedi's Late-Night Confession Wrap-Up, Full Camera Angles, Original Sound Cut
A-HOM-017	HOM	19.54	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-139	NEO	19.45	xcomet_noisy 89.9 but NTA miss	轻奢老钱｜贵在气质	Quiet luxury / understated elegance | The value lies in the aura.
A-NEO-162	NEO	18.86	xcomet_noisy 85.7 but NTA miss	我的病娇猫，爱得太沉重。	My sickly cat, loved too deeply.
A-PYA-015	PYA	17.76	xcomet_noisy 80.3 but NTA miss	已关注qiu fen xiang	Following qiu fen xiang
A-NEO-005	NEO	17.74	xcomet_noisy 93.8 but NTA miss	割肉？22年1.1买的，1.7算割肉吗	Selling at a loss? I bought it at 1.1 in 2022, is selling at 1.7 considered selling at a loss?
A-NEO-026	NEO	17.65	xcomet_noisy 80.3 but NTA miss	接出血停止，积血消失，宝宝健康平安出生。	Bleeding stopped, hematoma disappeared, and the baby was born healthy and safe.
A-NEO-145	NEO	17.64	xcomet_noisy 94.8 but NTA miss	这个建构我是真整不了一点	I really can't handle this construction at all.
A-NEO-035	NEO	17.36	xcomet_noisy 85.6 but NTA miss	蹲蹲，南南新年快乐	Doun doun, Nannan, Happy New Year!
A-NEO-154	NEO	17.29	xcomet_noisy 82.4 but NTA miss	春节倒计时🧨浅浅期待一下今年的年夜饭吧🧧	Looking forward to this year's New Year's Eve dinner! 🧨🧧
A-NEO-029	NEO	17.24	xcomet_noisy 95.1 but NTA miss	已私，求图，谢谢	PM me the picture, thanks.
A-HOM-010	HOM	16.79	xcomet_noisy 82.0 but NTA miss	啊啊啊啊给青兰ee吃	Aaaah, give Qinglan ee to eat.
