uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-082	NEO	48.62	xcomet/kiwi Δ disagree by 48.6; xcomet_noisy 85.8 but NTA miss	天天收藏，从未开始	Always collect, never started.
A-NEO-109	NEO	44.96	xcomet/kiwi Δ disagree by 45.0	总发愁自己没客子，不知道怎么起号的可以戳戳我	I'm not sure how to find a suitable partner, can you help me?
A-NEO-128	NEO	43.19	xcomet/kiwi Δ disagree by 43.2; xcomet_noisy 86.5 but NTA miss	幸福到冒泡🫧	🫧 Happiness
A-MIX-006	MIX	38.11	xcomet/kiwi Δ disagree by 38.1	请你说英语，speeekyingyu	Speak English, speaking.
A-NEO-033	NEO	37.56	xcomet/kiwi Δ disagree by 37.6	人不开心，也要咪哄	Don't be sad, but please comfort.
A-NEO-233	NEO	37.52	xcomet/kiwi Δ disagree by 37.5	吃瓜吃到自己身上……	Eat the fruit and feel it on your own.
A-NEO-007	NEO	33.39	xcomet/kiwi Δ disagree by 33.4	巴拉巴拉说的啥	What she said
A-NEO-004	NEO	32.77	xcomet/kiwi Δ disagree by 32.8	来了中中中	came the middle middle
A-NEO-161	NEO	32.04	xcomet/kiwi Δ disagree by 32.0; xcomet_noisy 84.8 but NTA miss	MBTI各种眼神杀！你能接得住？	What's your MBTI? Can you handle it?
A-NEO-199	NEO	31.33	xcomet/kiwi Δ disagree by 31.3	吉隆坡超级无敌避雷的点！	The super strong lightning protection point in Gombak!
A-NEO-047	NEO	31.29	xcomet/kiwi Δ disagree by 31.3	瑶瑶公主，蹲蹲蹲蹲	Rao Yao Princess, squatting and squatting and squatting
A-NEO-043	NEO	30.41	xcomet/kiwi Δ disagree by 30.4	敦门永恒！	Eternal Gate!
A-NEO-034	NEO	29.72	xcomet/kiwi Δ disagree by 29.7	➕吗宝宝	Yes, baby.
A-MIX-002	MIX	28.55	xcomet/kiwi Δ disagree by 28.5; xcomet_noisy 80.3 but NTA miss	图fine秒mine[doge]	doge fine seconds
A-MIX-044	MIX	28.37	xcomet/kiwi Δ disagree by 28.4	想大海和sun kissed life	Imagine the sea and sun-kissed life.
A-NEO-069	NEO	28.16	xcomet/kiwi Δ disagree by 28.2	我！要！原！图！关啦	I! want! the! original! image! goodbye
A-NEO-073	NEO	26.71	xcomet/kiwi Δ disagree by 26.7; xcomet_noisy 91.0 but NTA miss	笑爆了	Broke out laughing
A-NEO-030	NEO	26.10	xcomet/kiwi Δ disagree by 26.1; xcomet_noisy 81.7 but NTA miss	滴我滴我[doge]	[doge]
A-MIX-052	MIX	25.76	xcomet/kiwi Δ disagree by 25.8	轻松熊ascii art⊹ ࣪𓍢ִ໋⋆🍰ೀ⋆	✿ Bear with a smile ASCII art 🧡 🥕
A-NEO-206	NEO	25.64	xcomet/kiwi Δ disagree by 25.6	闭眼剪都好看的男生夏天短发	Close your eyes and look at a beautiful short-haired boy.
A-HOM-012	HOM	25.24	xcomet/kiwi Δ disagree by 25.2	蟹蟹宝宝夸奖	The baby crab is praising the baby.
A-NEO-015	NEO	25.06	xcomet/kiwi Δ disagree by 25.1	蹲蹲哈哈	蹲起哈哈
A-NEO-010	NEO	24.81	xcomet/kiwi Δ disagree by 24.8	多的不说，给我中中中	"""More than that, give me the middle middle middle."""
A-NEO-058	NEO	24.78	xcomet/kiwi Δ disagree by 24.8	看预算，直接r1+r52+大三元最优	Look at the budget, directly r1 + r52 + optimal third-year student.
