uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-072	NEO	69.54	xcomet/kiwi Δ disagree by 69.5	什么刀子都有[doge]	There's a knife for every occasion [doge]
A-PYA-002	PYA	42.46	xcomet/kiwi Δ disagree by 42.5	350 q安	350 qA
A-NEO-020	NEO	38.98	xcomet/kiwi Δ disagree by 39.0	这个❤️是🐴扁	This ❤️ is a horse's flatulence.
A-NEO-001	NEO	36.22	xcomet/kiwi Δ disagree by 36.2	中中中哦[doge]	Zhong Zhong Zhong oh [doge]
A-NEO-162	NEO	34.77	xcomet/kiwi Δ disagree by 34.8	我的病娇猫，爱得太沉重。	My yandere cat loves too heavily.
A-NEO-243	NEO	33.41	xcomet/kiwi Δ disagree by 33.4; xcomet_noisy 89.5 but NTA miss	约好在莱山上海滩附近贸易，当打开酒盖后，整个人麻了。怎么办？	We had agreed to do business near Laishan Seaside. After opening the wine cap, I suddenly went numb all over. What should I do?
A-HOM-009	HOM	32.93	xcomet/kiwi Δ disagree by 32.9	国际大厦比	International Building is taller than
A-NEO-053	NEO	32.75	xcomet/kiwi Δ disagree by 32.8	我我我蹲蹲蹲	I I I squat squat squat
A-HOM-014	HOM	31.03	xcomet/kiwi Δ disagree by 31.0	大鸡毛（大金毛）	Big chicken feather (Big golden feather)
A-PYA-011	PYA	28.99	xcomet/kiwi Δ disagree by 29.0	💙15w左右女生建议入手的BBA二手车	💙 Used BBA cars recommended for girls around 15 years old
A-NEO-033	NEO	28.84	xcomet/kiwi Δ disagree by 28.8	人不开心，也要咪哄	If a person is not happy, they still have to pretend to be okay.
A-NEO-031	NEO	28.36	xcomet/kiwi Δ disagree by 28.4	！！！！同担啊！！！！！	!!!!Same担!!!!!!
A-MIX-029	MIX	27.91	xcomet/kiwi Δ disagree by 27.9	#ENFJ型人格	ENFJ Personality Type
A-NEO-009	NEO	24.95	xcomet/kiwi Δ disagree by 24.9	交?已关[doge]	Delivery? Already closed [doge]
A-NEO-140	NEO	24.65	xcomet/kiwi Δ disagree by 24.6	这种健身又健脑的地方真的是牛马周末顶配	This place that combines fitness with brain training is really the ultimate weekend luxury for cows and horses.
A-NEO-007	NEO	24.55	xcomet/kiwi Δ disagree by 24.6	巴拉巴拉说的啥	What is Balabala saying?
A-NEO-236	NEO	24.24	xcomet/kiwi Δ disagree by 24.2	全是大漏勺	All are big sieve holes.
A-NEO-015	NEO	24.15	xcomet/kiwi Δ disagree by 24.1	蹲蹲哈哈	Dun dun ha ha
A-NEO-065	NEO	24.02	xcomet/kiwi Δ disagree by 24.0	19配 35/1	19 to 35/1
A-NEO-043	NEO	23.76	xcomet/kiwi Δ disagree by 23.8	敦门永恒！	Everlasting Gate!
A-HOM-012	HOM	23.26	xcomet/kiwi Δ disagree by 23.3	蟹蟹宝宝夸奖	Thank you baby for the compliment.
A-NEO-063	NEO	22.07	xcomet/kiwi Δ disagree by 22.1	ruby蹲蹲	Ruby squat squat
A-NEO-237	NEO	21.77	xcomet/kiwi Δ disagree by 21.8	哪吒的童子尿包浓郁的呀	Ne Zha's baby urine is so strong.
A-NEO-082	NEO	21.13	xcomet/kiwi Δ disagree by 21.1; xcomet_noisy 82.6 but NTA miss	天天收藏，从未开始	Collect every day, never start.
A-HOM-017	HOM	19.54	xcomet_noisy 86.5 but NTA miss	这就是史	This is history.
A-NEO-071	NEO	18.15	xcomet_noisy 92.1 but NTA miss	蹲反馈。甜不甜	Check the feedback. Is it sweet?
A-NEO-148	NEO	17.82	xcomet_noisy 83.7 but NTA miss	老夫子周边🥹	Old Master周边🥹
A-NEO-199	NEO	15.66	xcomet_noisy 92.0 but NTA miss	吉隆坡超级无敌避雷的点！	Kuala Lumpur's ultimate must-avoid spot!
A-NEO-073	NEO	15.41	xcomet_noisy 81.1 but NTA miss	笑爆了	LMAO
A-NEO-045	NEO	15.38	xcomet_noisy 85.7 but NTA miss	蹲蹲第一个羊羔毛外套的链接	Check the link to the first sheepskin coat.
A-MIX-009	MIX	15.36	xcomet_noisy 83.2 but NTA miss	le｜我的故事是双女主	My story is a dual female lead.
A-PYA-015	PYA	15.20	xcomet_noisy 81.5 but NTA miss	已关注qiu fen xiang	Already followed qiu feng xiang
A-NEO-025	NEO	14.08	xcomet_noisy 84.8 but NTA miss	无盒200出	No box 200 out
A-NEO-145	NEO	13.52	xcomet_noisy 94.8 but NTA miss	这个建构我是真整不了一点	I really can't handle this construction at all.
A-NEO-028	NEO	13.31	xcomet_noisy 81.5 but NTA miss	台州本地蹲蹲	Taizhou local netizen
A-HOM-007	HOM	12.82	xcomet_noisy 83.8 but NTA miss	似吧我不拦你	Okay, I guess I won't stop you.
A-NEO-003	NEO	12.50	xcomet_noisy 91.9 but NTA miss	想到他们的“快乐水”	"Thinking of their ""happy water"""
A-NEO-173	NEO	12.26	xcomet_noisy 90.9 but NTA miss	桂林📍景点避坑｜去桂林前一定要看哦‼	Guilin 📍 Travel Tips to Avoid Scams | A Must-Read Before Visiting Guilin‼
A-NEO-113	NEO	12.17	xcomet_noisy 93.6 but NTA miss	需要我#互关吗，兄弟	Do you need me to follow you back, brother?
A-NEO-188	NEO	12.05	xcomet_noisy 87.2 but NTA miss	独居一人食🍓抹茶草莓牛乳和草莓三明治！	Eating alone 🍓 matcha strawberry milk and strawberry sandwich!
A-NEO-203	NEO	11.92	xcomet_noisy 80.8 but NTA miss	谁说上海跨年没有仪式感，我给你拉爆	Who says New Year's Eve in Shanghai lacks ceremony? I'll blow it up for you.
A-NEO-002	NEO	11.43	xcomet_noisy 82.1 but NTA miss	噗哈哈哈还是你6666	Haha, you're still 6666.
A-NEO-008	NEO	11.37	xcomet_noisy 86.5 but NTA miss	这是老广啊	This is the old Guangzhou folks.
A-NEO-079	NEO	11.34	xcomet_noisy 86.2 but NTA miss	无语！太夸张了！刚从中国回来三周，我觉得他们描述的是欧盟	Silent! Too exaggerated! I just came back from China three weeks ago, and I think what they described is the EU.
A-NEO-241	NEO	10.92	xcomet_noisy 97.0 but NTA miss	姐妹们帮我看看这是本人还是网图	Sisters, help me check if this is a real photo or a screenshot from the internet.
A-NEO-034	NEO	10.11	xcomet_noisy 85.1 but NTA miss	➕吗宝宝	Plus, baby?
A-NEO-056	NEO	9.64	xcomet_noisy 82.0 but NTA miss	②没了哦，其他私	② Gone, the rest is private.
A-NEO-161	NEO	9.58	xcomet_noisy 85.2 but NTA miss	MBTI各种眼神杀！你能接得住？	Various MBTI Eye Contact Kills! Can You Handle It?
A-NEO-037	NEO	9.55	xcomet_noisy 100.0 but NTA miss	我去，这个帅啊	Wow, this is so cool.
A-NEO-005	NEO	9.37	xcomet_noisy 88.4 but NTA miss	割肉？22年1.1买的，1.7算割肉吗	Cutting losses? Bought at 1.1 in 2022, is selling at 1.7 considered cutting losses?
A-NEO-153	NEO	9.31	xcomet_noisy 92.0 but NTA miss	以前画的黑暗欺骗同人图	Previously drawn dark deception doujinshi
A-NEO-194	NEO	9.29	xcomet_noisy 91.7 but NTA miss	吉隆坡新晋网红餐厅•不得不试	Kuala Lumpur's New Rising Social Media Sensation Restaurant • A Must-Try
A-PYA-005	PYA	8.57	xcomet_noisy 88.8 but NTA miss	Chuan搭🔴⚪️红白配	Chuan wears red and white.
A-HOM-008	HOM	8.55	xcomet_noisy 81.5 but NTA miss	哈雷哈雷，欢迎欢迎热烈欢迎	Hale Hale, welcome, warm welcome!
A-NEO-253	NEO	8.36	xcomet_noisy 82.0 but NTA miss	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Do you know why his parents accepted him as 0 and even cooperated in making videos? The reason is...
A-NEO-057	NEO	8.23	xcomet_noisy 84.9 but NTA miss	宝宝羽绒服🔗！	Baby Down Jacket 🔗!
A-NEO-252	NEO	8.21	xcomet_noisy 88.1 but NTA miss	这是哪套啊，怎么从未见过 这是又被偷跑了？	Which set is this? I've never seen it before. Has it been stolen again?
A-NEO-060	NEO	7.70	xcomet_noisy 81.4 but NTA miss	老外来之前不给我推这种视频	Don't show me this kind of video before the foreigners come.
