uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
A-HOM-001	HOM	67.65	82.12	14.48	44.54	73.05	28.51	0	0	0	广0王，我也是	Broad King, I am also.	广陵王，我也是	Guangling Wang, I am too.	Prince of Guangling, same here.
A-HOM-002	HOM	98.55	100.00	1.45	69.07	85.84	16.78	0	100	100	3Q 祝你新年快乐 🎊🐍	Happy New Year! 🎉🐍	谢谢 祝你新年快乐 🎊🐍	Thank you and Happy New Year! 🎊🐍	Thanks! Happy New Year 🎊🐍
A-HOM-003	HOM	89.99	87.71	-2.29	83.22	87.11	3.89	0	0	0	我的玛雅太美了	My Maya is so beautiful.	我的妈呀太美了	My mother is so beautiful!	Oh my God, mine is so beautiful!
A-HOM-004	HOM	59.82	61.51	1.69	43.18	49.83	6.65	0	0	0	有顺风顺水顺财神的郝性头像吗？	Do you have any lucky/auspicious郝性头像 (photos)?	有顺风顺水顺财神的郝姓头像吗？	Are there any郝姓 (Ha surname) people with good fortune, smooth sailing, and a lucky god (财神)?	Does anyone have a profile picture with the surname Hao that brings smooth sailing and the God of Wealth?
A-HOM-005	HOM	80.23	86.77	6.54	74.58	68.18	-6.41	0	0	0	➗25家政 15洗衣  10洗车	9 housekeeping, 7 laundry, 5 car wash	出售25家政 15洗衣  10洗车	Selling 25 real estate, 15 laundry, 10 car wash.	Selling: housekeeping 25, laundry 15, car wash 10.
A-HOM-006	HOM	60.73	96.94	36.21	63.51	84.63	21.11	0	100	100	马牙，谢谢劳斯🥺❤️❤️❤️	Horse teeth, thank you, Lauss 🥺❤️❤️❤️	妈呀，谢谢老师🥺❤️❤️❤️	Oh my gosh, thank you teacher! 🥰🥰🥰	Oh my God, thank you, teacher 🥺❤️❤️❤️
A-HOM-007	HOM	86.87	96.31	9.43	75.91	81.08	5.17	0	0	0	似吧我不拦你	Maybe, I won't stop you.	死吧我不拦你	Go to hell, I won't stop you.	Go die if you want—I won't stop you.
A-HOM-008	HOM	80.37	88.54	8.17	77.24	77.60	0.36	0	100	100	哈雷哈雷，欢迎欢迎热烈欢迎	Hooray, hooray, welcome, welcome, warmly welcome!	你好你好，欢迎欢迎热烈欢迎	Hello hello, welcome, welcome, warmly welcome!	Hello, hello—a very warm welcome!
A-HOM-009	HOM	40.81	92.36	51.55	52.36	68.25	15.89	0	0	0	国际大厦比	International Building is better than	国际大傻逼	International big idiot	A world-class dumbass.
A-HOM-010	HOM	83.26	78.03	-5.24	74.92	76.62	1.71	0	100	100	啊啊啊啊给青兰ee吃	Aaaah, give Qing Lan ee some food.	啊啊啊啊给青兰阿姨吃	Aha aha aha give Qing Lan Auntie some food.	Give Auntie Qinglan something to eat!
A-HOM-011	HOM	50.35	79.31	28.97	49.41	66.38	16.97	0	100	100	啊啊啊啊啊豆儿康康我	Aaaah, bean, Kang Kang, me!	啊啊啊啊啊豆儿看看我	Aaaah, little bean, look at me!	Dou'er, take a look at me!!!
A-HOM-012	HOM	86.81	97.36	10.55	54.93	84.53	29.60	100	100	0	蟹蟹宝宝夸奖	Thank you, little one, for the compliment.	谢谢宝宝夸奖	Thank you for the compliment, baby.	Thanks, babe, for the compliment.
A-HOM-013	HOM	89.41	100.00	10.59	86.25	86.58	0.33	0	100	100	啊！谢谢劳斯！	Oh! Thank you, Louis!	啊！谢谢老师！	Oh! Thank you, teacher!	Ah, thank you, teacher!
A-HOM-014	HOM	92.09	79.78	-12.30	43.43	44.82	1.39	100	100	0	大鸡毛（大金毛）	Big Golden Retriever	大金毛（大金毛）	Large Golden Retriever	A big golden retriever (a big golden retriever).
A-HOM-015	HOM	97.42	98.69	1.27	82.74	84.90	2.16	0	0	0	每个月不用给chatgpt交20刀了	You no longer have to pay $20 per month for ChatGPT.	每个月不用给chatgpt交20美元了	You no longer have to pay $20 per month for ChatGPT.	Now I don’t have to pay ChatGPT $20 a month.
A-HOM-017	HOM	86.52	99.70	13.18	83.83	77.47	-6.36	0	100	100	这就是史	This is history.	这就是屎	This is shit.	This is literally shit.
A-NEO-253	NEO	79.82	62.09	-17.73	71.70	57.32	-14.38	0	0	0	知道为什么他父母接受他是0还配合拍视频吗 原因竟是...	Did he know why his parents accepted him as he was and cooperated with filming videos? It turns out that…	知道为什么他父母接受他是受还配合拍视频吗 原因竟是...	Did he and his parents cooperate with filming the video because they knew why? It turns out that…	Do you know why his parents accept that he’s a bottom and even cooperate in making videos? The reason turns out to be...
A-HOM-019	HOM	59.42	84.53	25.11	72.46	75.05	2.59	100	100	0	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香灰常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance pendants! There are 7.8 different scents that are really unique – not a strong, heavy type. Hanging in the closet, they give off a light, subtle fragrance that’s very relaxing! Xiao Han always stocks up every time she comes!	固体香薰挂！！有7.8个香味都好特别 不是那种浓郁型的，挂在衣柜里淡淡的香非常舒心！每次来小韩都要囤一堆！！！！	Solid fragrance hangers! There are 7.8 different scents that are really unique – not a strong, heavy type of fragrance, they smell subtly in the closet and are very relaxing! I always have to stock up every time I come to Xiao Han!	Solid fragrance hangers!! There are seven or eight scents, and every one is so unique. They’re not overpowering; hanging one in the wardrobe leaves a soft scent that feels incredibly soothing! I stock up on a bunch every time I visit Xiao Han!!!!
A-PYA-001	PYA	74.28	84.21	9.93	51.97	70.93	18.97	0	100	100	小窗口dd你吧	Close the small window for me.	小窗口联系你吧	Please contact me through a small window.	I'll DM you.
A-PYA-002	PYA	69.12	87.35	18.23	68.34	82.21	13.88	0	0	0	350 q安	350 QA (or 350 Qian)	350 QQ安卓区	350 QQ Android Zone	Offering ¥350 on the QQ Android server.
A-PYA-003	PYA	95.21	98.87	3.66	83.17	87.20	4.03	0	100	100	我喜欢你 CPDD	I like you CPDD	我喜欢你 想和你谈恋爱	I like you. I want to have a relationship with you.	I like you—want to date?
A-PYA-004	PYA	91.67	96.58	4.91	73.17	79.94	6.78	0	0	0	好可爱cpdd...	So cute CPdd...	好可爱想找对象...	So cute, I want to find a partner...	So cute—looking for someone to date...
A-PYA-005	PYA	70.86	83.92	13.06	43.32	65.51	22.19	100	100	0	Chuan搭🔴⚪️红白配	Matching red and white (likely referring to a color scheme or outfit).	穿搭🔴⚪️红白配	Outfit/Style in red and white (color scheme)	Outfit 🔴⚪️ red and white.
A-PYA-006	PYA	86.02	86.04	0.02	63.68	74.20	10.51	0	0	0	xhs是得加个翻译功能了	We need to add a translation function.	小红书是得加个翻译功能了	Little Red Book needs to add a translation function.	Xiaohongshu really needs to add a translation feature.
A-PYA-007	PYA	79.48	54.50	-24.98	62.32	53.59	-8.74	100	100	0	愿逆风如解意，蛇年多挣RMB	May you face adversity with understanding, and may you earn a lot of RMB this snake year.	愿逆风如解意，蛇年多挣人民币	Wishing to defy the wind like a clear understanding, may the snake year bring you many earned RMB.	May even the headwinds understand your wishes, and may you make lots of RMB in the Year of the Snake.
A-PYA-008	PYA	35.26	56.90	21.63	63.81	63.86	0.05	100	0	-100	说 WOC 和 NB 欢迎来中国旅游和交朋友	Let everyone, especially women of color (WOC) and non-binary people (NB), welcome to travel and make friends in China.	说 我操 和 NB 欢迎来中国旅游和交朋友	Say “I’m fucking” and NB, welcome to China for tourism and making friends.	Just say “holy crap” and “awesome.” Welcome to China—come travel and make friends!
A-PYA-009	PYA	33.16	45.00	11.84	55.58	54.31	-1.27	100	0	-100	还是得看对口白话 对口白话兄弟yyds	Still gotta use everyday slang/colloquial speech. Everyday slang, bro, yyds.	还是得看对口白话 对口白话兄弟永远的神	Still gotta use everyday speech/slang. Everyday speech brothers are always the best.	You’ve got to watch Duikou Baihua. The Duikou Baihua guys are the GOAT.
A-PYA-010	PYA	70.26	78.83	8.57	63.86	71.32	7.46	100	100	0	一打开小红书发现变成国际版le	As I open Little Red Book, it’s become an international version of Le.	一打开小红书发现变成国际版了	As I open Little Red Book, it’s become an international version.	I opened Xiaohongshu and found it had turned into an international app.
A-PYA-011	PYA	50.64	90.56	39.93	61.30	53.47	-7.83	100	100	0	💙15w左右女生建议入手的BBA二手车	Around 15 weeks old girls should consider buying used BBA cars.	💙15万左右女生建议入手的BBA二手车	Around 150,000 yuan, recommended BBA used cars for women.	💙 Recommended used BBA cars for women with a budget of around ¥150,000.
A-PYA-012	PYA	91.05	84.85	-6.20	58.30	62.69	4.40	100	0	-100	上次还有人说瘦的是P的 搞不懂根本搞不懂	Someone said it was photoshopped last time. I just don't understand it, I really don't understand.	上次还有人说瘦的是修图的 搞不懂根本搞不懂	Someone said last time that the slimming was edited. I really don't understand it at all.	Last time someone even said the slim look was photoshopped. I don’t get it—seriously, I just don’t.
A-NEO-001	NEO	85.06	91.27	6.21	45.18	58.14	12.96	0	100	100	中中中哦[doge]	Much wow [doge]	好好好哦[doge]	Okay, okay, oho [doge]	Okay, okay, okay [doge].
A-NEO-002	NEO	80.37	98.89	18.51	62.24	83.57	21.33	0	0	0	噗哈哈哈还是你6666	Haha, seriously, you're such a 6666!	噗哈哈哈还是你最厉害	Haha, you're the best!	Pfft, hahaha—you're still the best!
A-NEO-003	NEO	92.98	84.85	-8.14	66.22	75.82	9.60	0	100	100	想到他们的“快乐水”	Thinking of their “happy water”	想到他们的“可乐”	Thinking about their “cola”	Thinking about their so-called “happy water”—Coke.
A-NEO-004	NEO	36.86	70.25	33.39	38.94	43.76	4.82	0	0	0	来了中中中	Came Zhong Zhong Zhong	来了好好好	Came, really good, good!	I'm here—okay, okay, okay!
A-NEO-005	NEO	73.90	86.13	12.23	51.61	73.26	21.66	0	0	0	割肉？22年1.1买的，1.7算割肉吗	Is that a rip-off? I bought it for 22,000 yen in January 2022, is 17,000 yen considered a rip-off?	亏本卖出？22年1.1买的，1.7算亏本卖出吗	Selling at a loss? Bought it for 1.1 in 22, is selling it for 1.7 considered a loss?	Selling at a loss? I bought it for 1.1 in 2022; does selling at 1.7 really count as taking a loss?
A-NEO-006	NEO	64.40	82.76	18.37	50.55	65.33	14.78	0	100	100	不在鱼上了吗	Did you miss the fish?	不在闲鱼上了吗	Are you not on Xianyu anymore?	Aren't you selling it on Xianyu anymore?
A-NEO-007	NEO	58.90	94.78	35.88	82.49	77.80	-4.69	0	0	0	巴拉巴拉说的啥	What did Balala say?	说了这么多，到底在说什么	After all that, what are you really saying?	After all that rambling, what are you even talking about?
A-NEO-008	NEO	77.56	99.96	22.41	58.23	80.18	21.94	0	0	0	这是老广啊	This is old Cantonese.	这是广东本地人啊	This is a local from Guangdong.	That's a true Guangdong local.
A-NEO-009	NEO	48.49	82.35	33.86	51.83	61.55	9.72	0	100	100	交?已关[doge]	Closed. [doge]	互相关注?已经关注[doge]	Cross-reference? Already following [doge]	Want to be mutuals? I have already followed you. [doge]
A-NEO-010	NEO	65.45	93.21	27.76	41.73	79.59	37.86	0	100	100	多的不说，给我中中中	Let's just say it, give me a check-check-check.	多的不说，希望我能中奖	Let's not say much, I hope I win.	Enough talk—hope I win!
A-NEO-011	NEO	67.36	58.03	-9.33	61.96	53.64	-8.32	0	0	0	五！老！师！我！想！你！了！	Five! Old! Teacher! I! Miss! You!	五条悟老师我！想！你！了！	Five Sentou teacher, I! Want! You!	Gojo-sensei! I miss you!
A-NEO-012	NEO	89.09	87.39	-1.70	68.53	73.20	4.67	0	0	0	杭州现货，价格美丽	Hangzhou spot, beautiful price.	杭州现货，价格很划算	Hangzhou spot, the price is very favorable.	In stock in Hangzhou at a great price.
A-NEO-013	NEO	72.47	70.05	-2.41	74.05	61.74	-12.31	0	0	0	318走🐟（24/6生产日期）	318 walking fish (production date 24/6)	318通过闲鱼交易（24/6生产日期）	Sold on Xianyu (production date 24/6)	¥318 via Xianyu (manufactured in June 2024).
A-NEO-014	NEO	92.16	94.60	2.44	73.82	77.47	3.65	0	100	100	蹲了很久[doge]	Been sitting here for a long time [doge]	等了很久[doge]	Waited a long time [doge]	I've been waiting a long time [doge].
A-NEO-015	NEO	77.42	96.28	18.87	69.34	77.62	8.28	0	100	100	蹲蹲哈哈	Sit and laugh, haha.	在这里等候哈哈	Waiting here haha	Waiting, waiting, haha.
A-NEO-016	NEO	75.82	67.83	-7.99	69.21	59.34	-9.88	0	100	100	3.0下配套的限时常驻自选池子呀	The limited-time customizable pool included with version 3.0.	3.0下半期配套的限时常驻自选卡池呀	Limited-time featured rotating card pools bundled with 3.0 in the second half of the year!	It’s the limited-time permanent-character selector banner that comes with the second half of Version 3.0.
A-NEO-017	NEO	67.24	59.48	-7.77	61.63	73.93	12.29	0	100	100	体育西路，珠江新城可带，3号线都可以带	Sports West Road, Zhujang New City, can be accessed via Line 3.	体育西路，珠江新城可交付，3号线都可以交付	Sports West Road, Zhujiang New City, can be delivered, and Line 3 can also be delivered.	I can meet at Tiyu Xilu, Zhujiang New Town, or anywhere along Guangzhou Metro Line 3.
A-NEO-018	NEO	62.49	84.78	22.29	78.37	65.83	-12.54	0	0	0	老六，666	Old Six, 666	出其不意的人，太厉害了	It’s amazing how unexpectedly skilled they are.	You little schemer—well played!
A-NEO-019	NEO	30.96	63.89	32.93	37.39	44.20	6.81	0	0	0	直接多少，🐟跳转不了	It’s all about the details, fish can’t jump over them.	直接多少，闲鱼跳转不了	The direct amount is too high, the Erniu (second-hand goods platform) link cannot jump.	How much for it directly? I can’t open the Xianyu link.
A-NEO-020	NEO	49.65	95.47	45.82	38.22	76.28	38.06	0	100	100	这个❤️是🐴扁	This ❤️ is a horse’s ass.	这个点赞是骗来的	This like is fake.	That like was obtained by tricking people.
A-NEO-021	NEO	45.75	87.21	41.46	57.20	75.99	18.79	0	100	100	重庆，九龙坡蹲	Chongqing, Jinyong (Jin-yong) area squatting/loitering.	重庆，九龙坡寻找本地卖家	Chongqing, Jiulongpo is looking for local sellers.	Looking for a local seller in Jiulongpo, Chongqing.
A-NEO-022	NEO	92.04	92.93	0.89	76.37	60.77	-15.61	0	0	0	宝宝黄色毛衣有链接吗	Does the baby's yellow sweater have a link?	宝贝黄色毛衣有链接吗	Does the yellow sweater have a link?	Babe, do you have a link to the yellow sweater?
A-NEO-023	NEO	73.39	98.27	24.88	55.01	82.97	27.96	0	0	0	耳朵动起来好可爱啊QQ弹弹	My ears are moving, how cute! QQ Ban Ban	耳朵动起来好可爱啊柔软又有弹性	It’s so cute how the ears move – they’re soft and elastic.	The way its ears wiggle is so cute—they look soft and bouncy.
