uid	category	severity	reasons	src_noisy	hyp_noisy
A-NEO-072	NEO	51.29	xcomet/kiwi Δ disagree by 51.3	什么刀子都有[doge]	Any knife you like [doge]
A-NEO-007	NEO	47.25	xcomet/kiwi Δ disagree by 47.2	巴拉巴拉说的啥	What did Balabala say?
A-PYA-002	PYA	42.46	xcomet/kiwi Δ disagree by 42.5	350 q安	350 qA
A-NEO-020	NEO	35.35	xcomet/kiwi Δ disagree by 35.4	这个❤️是🐴扁	This ❤️ is a 🐴 flat.
A-HOM-009	HOM	34.61	xcomet/kiwi Δ disagree by 34.6	国际大厦比	The International Building is taller than
A-NEO-053	NEO	32.75	xcomet/kiwi Δ disagree by 32.8	我我我蹲蹲蹲	I I I squat squat squat
A-NEO-236	NEO	32.26	xcomet/kiwi Δ disagree by 32.3	全是大漏勺	All are big strainers
A-NEO-034	NEO	31.10	xcomet/kiwi Δ disagree by 31.1	➕吗宝宝	Is the baby okay?
A-HOM-012	HOM	30.82	xcomet/kiwi Δ disagree by 30.8	蟹蟹宝宝夸奖	Thank you, baby!
A-NEO-082	NEO	30.60	xcomet/kiwi Δ disagree by 30.6; xcomet_noisy 85.3 but NTA miss	天天收藏，从未开始	Collect every day, never started.
A-NEO-018	NEO	28.57	xcomet/kiwi Δ disagree by 28.6	老六，666	Old Six, 666
A-MIX-006	MIX	28.52	xcomet/kiwi Δ disagree by 28.5	请你说英语，speeekyingyu	Please speak English, speakingyu.
A-NEO-009	NEO	28.26	xcomet/kiwi Δ disagree by 28.3	交?已关[doge]	"The sentence ""交?已关[doge]"" appears to be a mix of Chinese characters and a meme reference. Here's a breakdown and translation:

- ""交?"" could be a typo or incomplete phrase. If it's meant to be ""交了"" (jiāo le), it would translate to ""Submitted"" or ""Done.""
- ""已关"" translates to ""Already closed"" or ""Already shut down.""
- ""[doge]"" is a reference to the ""doge"" meme, often used to express confusion or sarcasm.

Putting it together, a possible interpretation and translation could be:

**""Submitted? Already closed [doge]""**

If you have a specific context or intended meaning, please provide more details for a more accurate translation."
