uid	category	severity	reasons	src_noisy	hyp_noisy
B-HOM-071	HOM	55.82	xcomet/kiwi Δ disagree by 55.8	要泥寡,雨女无瓜!	If the mud is little, the rain woman has no melon!
B-MIX-132	MIX	47.38	xcomet/kiwi Δ disagree by 47.4	天磊：what can I say	Tianlei: What can I say?
B-MIX-135	MIX	39.66	xcomet/kiwi Δ disagree by 39.7	抽me,please抽me	Please touch me.
B-NEO-054	NEO	39.61	xcomet/kiwi Δ disagree by 39.6	被种草了	I've been influenced/persuaded to want something.
B-NEO-090	NEO	39.60	xcomet/kiwi Δ disagree by 39.6	应该是的，不然怎么会气到把国粹给说出来了	She's probably right, otherwise why would she get so upset as to bring up a national treasure?
B-PYA-079	PYA	37.41	xcomet/kiwi Δ disagree by 37.4; xcomet_noisy 85.3 but NTA miss	8u🚪什么意思	What does 8u🚪 mean?
B-MIX-087	MIX	37.29	xcomet/kiwi Δ disagree by 37.3	发现没火的作者belike	The author likely didn't realize there was no fire.
B-NEO-056	NEO	33.98	xcomet/kiwi Δ disagree by 34.0; xcomet_noisy 85.0 but NTA miss	他好会整活	He's really good at creating buzz/stirring things up.
B-HOM-090	HOM	32.82	xcomet/kiwi Δ disagree by 32.8	香精煎鱼食不食	Fragrant essence-steeped fish, not eaten.
B-PYA-070	PYA	32.42	xcomet/kiwi Δ disagree by 32.4	nsdd，你说得对	You're right.
B-PYA-071	PYA	32.42	xcomet/kiwi Δ disagree by 32.4	xswl一人血书求这个短剧拍真人版	Someone wrote a blood letter asking for this short drama to be adapted into a live-action version.
B-MIX-093	MIX	31.51	xcomet/kiwi Δ disagree by 31.5	不会侵蚀后全是boss吧	It'll probably just be bosses after that.
B-MIX-054	MIX	31.35	xcomet/kiwi Δ disagree by 31.4; xcomet_noisy 97.0 but NTA miss	GG了，完了	It's over.
B-NEO-010	NEO	31.02	xcomet/kiwi Δ disagree by 31.0; xcomet_noisy 92.5 but NTA miss	选择你的躲藏点，被抓到就芭比Q了	Choose your hiding spot, you're toast if you get caught.
B-PYA-110	PYA	30.99	xcomet/kiwi Δ disagree by 31.0	万恶的zi ben jia	Vile capitalism
B-HOM-070	HOM	30.98	xcomet/kiwi Δ disagree by 31.0	这个特效针不戛！	This special injection doesn't work!
B-MIX-105	MIX	30.74	xcomet/kiwi Δ disagree by 30.7	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-034	HOM	30.09	xcomet/kiwi Δ disagree by 30.1; xcomet_noisy 95.5 but NTA miss	蚌埠住了这也太搞笑了	I can't contain myself, this is hilarious!
B-HOM-019	HOM	30.05	xcomet/kiwi Δ disagree by 30.0; xcomet_noisy 93.2 but NTA miss	雀食好笑，不骗你	That's funny, I'm not kidding.
B-HOM-054	HOM	29.17	xcomet/kiwi Δ disagree by 29.2; xcomet_noisy 93.0 but NTA miss	窝巢，这也太厉害了吧	Wow, that's amazing!
B-HOM-129	HOM	29.13	xcomet/kiwi Δ disagree by 29.1	锁呐区甲亢哥	"This appears to be a nonsensical or coded phrase. It doesn't translate directly into meaningful English. It's likely a combination of characters with no clear semantic connection.

Therefore, a direct translation is impossible."
B-HOM-051	HOM	28.95	xcomet/kiwi Δ disagree by 28.9; xcomet_noisy 85.2 but NTA miss	看完女排比赛我直接鸭梨山大	I was completely overwhelmed after watching the women's volleyball match.
B-NEO-088	NEO	28.67	xcomet/kiwi Δ disagree by 28.7	我都不知道出新图了，作业自己跑我脸上了	I have no idea when I'll be able to release new artwork; my assignments are piling up on me.
B-HOM-035	HOM	28.18	xcomet/kiwi Δ disagree by 28.2; xcomet_noisy 88.4 but NTA miss	看到50亿离婚案的消息我直接蓝瘦香菇	Seeing the news about 5 billion divorce cases, I'm just heartbroken.
B-NEO-084	NEO	27.35	xcomet/kiwi Δ disagree by 27.4; xcomet_noisy 91.9 but NTA miss	基操	Basic operation
B-PYA-076	PYA	26.95	xcomet/kiwi Δ disagree by 26.9; xcomet_noisy 95.9 but NTA miss	xswl皇帝的新衣	The Emperor's New Clothes
B-HOM-030	HOM	26.94	xcomet/kiwi Δ disagree by 26.9	蚌埠住了，这也太好笑了吧	I can't hold it, this is too funny!
