uid	category	severity	reasons	src_noisy	hyp_noisy
B-MIX-093	MIX	52.89	xcomet/kiwi Δ disagree by 52.9	不会侵蚀后全是boss吧	Won't it all be bosses after that?
B-HOM-110	HOM	41.88	xcomet/kiwi Δ disagree by 41.9	预计会火，火钳刘明	It is expected to be popular, Liu Ming with tongs.
B-HOM-081	HOM	40.76	xcomet/kiwi Δ disagree by 40.8	tree 波Q	tree Bo Q
B-MIX-132	MIX	40.32	xcomet/kiwi Δ disagree by 40.3	天磊：what can I say	Tian Lei: what can I say
B-HOM-071	HOM	38.88	xcomet/kiwi Δ disagree by 38.9	要泥寡,雨女无瓜!	No gain without pain, it's raining women and no melons!
B-PYA-110	PYA	38.61	xcomet/kiwi Δ disagree by 38.6	万恶的zi ben jia	Evil capitalists
B-NEO-069	NEO	38.18	xcomet/kiwi Δ disagree by 38.2; xcomet_noisy 90.3 but NTA miss	内卷太严重了，打工人伤不起	The competition is too intense; we can't afford to be overworked.
B-NEO-051	NEO	37.15	xcomet/kiwi Δ disagree by 37.2; xcomet_noisy 94.5 but NTA miss	互联网嘴替实锤	Internet mouthpiece confirmed
B-MIX-105	MIX	31.34	xcomet/kiwi Δ disagree by 31.3	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why can birds fly? Look at my eye, tell me why!
B-NEO-084	NEO	31.26	xcomet/kiwi Δ disagree by 31.3; xcomet_noisy 93.3 but NTA miss	基操	Basic operation.
B-NEO-036	NEO	30.86	xcomet/kiwi Δ disagree by 30.9; xcomet_noisy 83.6 but NTA miss	别搁这凡尔赛了，显摆啥呢	Stop being so pretentious, what are you showing off?
B-MIX-009	MIX	30.69	xcomet/kiwi Δ disagree by 30.7	王虹这波演讲直接slay	Wang Hong's speech totally slayed.
B-PYA-071	PYA	30.24	xcomet/kiwi Δ disagree by 30.2	xswl一人血书求这个短剧拍真人版	xswl writes a blood letter to request a live-action version of this short drama
B-HOM-051	HOM	29.89	xcomet/kiwi Δ disagree by 29.9	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I immediately felt immense pressure.
B-HOM-111	HOM	29.62	xcomet/kiwi Δ disagree by 29.6	扳机歪了，前来还怨	The trigger is bent, yet you still blame me.
B-PYA-104	PYA	29.42	xcomet/kiwi Δ disagree by 29.4	死yxh滚远点	Die, yxh, and get lost.
B-HOM-032	HOM	29.35	xcomet/kiwi Δ disagree by 29.4	你就耗子尾汁吧，别折腾了	Just give it up, don't keep messing around.
B-MIX-135	MIX	28.89	xcomet/kiwi Δ disagree by 28.9	抽me,please抽me	Pick me, please pick me
B-NEO-077	NEO	28.51	xcomet/kiwi Δ disagree by 28.5; xcomet_noisy 93.5 but NTA miss	为什么留子都不爱和老外谈？	Why don't Chinese students studying abroad like to date foreigners?
B-HOM-128	HOM	27.77	xcomet/kiwi Δ disagree by 27.8	全体欣赏阴乐	Appreciate the somber music as a whole.
B-HOM-019	HOM	27.41	xcomet/kiwi Δ disagree by 27.4; xcomet_noisy 93.9 but NTA miss	雀食好笑，不骗你	It's really funny, I'm not kidding you.
B-MIX-061	MIX	27.19	xcomet/kiwi Δ disagree by 27.2	solo一下，单挑	Show off, one-on-one battle
B-HOM-038	HOM	26.59	xcomet/kiwi Δ disagree by 26.6; xcomet_noisy 98.9 but NTA miss	这个颜色灰常好看	This color is very nice.
B-NEO-055	NEO	26.40	xcomet/kiwi Δ disagree by 26.4; xcomet_noisy 93.9 but NTA miss	拔草了不买	I won't buy it anymore.
B-PYA-067	PYA	26.22	xcomet/kiwi Δ disagree by 26.2	tcl这游戏技术，菜到抠脚	This TCL game technology is so bad it's embarrassing.
B-NEO-082	NEO	26.18	xcomet/kiwi Δ disagree by 26.2	爷青回	Yeqing Returns
B-NEO-074	NEO	26.04	xcomet/kiwi Δ disagree by 26.0; xcomet_noisy 87.0 but NTA miss	这波操作直接拉胯了	This move directly messed things up.
B-MIX-098	MIX	25.86	xcomet/kiwi Δ disagree by 25.9	别什么过场都搞qte，破坏连贯	Don't use QTEs for every cutscene, it breaks the flow.
