uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	90.75	93.43	2.68	60.87	83.76	22.89	0	0	0	酱紫也行？那我也试试	Would that work? Then I'll try it too.	这样子也行？那我也试试	That's also okay? Then I'll try it too.	this works? then let me try too
B-HOM-002	HOM	88.53	95.23	6.69	58.54	76.47	17.92	0	0	0	你怎么酱紫说话，人家会误会的	How are you talking like that, people will get confused.	你怎么这样子说话，人家会误会的	How could you talk like that, people might get confused.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	96.53	98.00	1.48	81.02	84.27	3.25	0	0	0	各位童鞋注意了，期末考试要来了	Everyone, take notice, the final exam is coming.	各位同学注意了，期末考试要来了	Ladies and gentlemen, take notice, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	95.30	98.99	3.69	81.56	83.41	1.85	0	100	100	童鞋们帮我看看这道题怎么做	Kids, help me see how to solve this problem.	同学们帮我看看这道题怎么做	Classmates, help me see how to solve this problem.	classmates help me figure out this problem
B-HOM-005	HOM	97.39	97.01	-0.38	76.50	82.53	6.02	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger a lot, he's so funny.	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	95.64	100.00	4.36	59.90	86.19	26.29	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	83.66	95.89	12.23	54.88	82.67	27.79	100	100	0	今天又是杯具的一天，出门忘带钥匙	Another day of cup tragedy, forgot my keys when leaving home.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when leaving home.	another tragic day, forgot my keys going out
B-HOM-008	HOM	90.63	98.23	7.60	54.56	83.64	29.08	0	100	100	人生就是一个杯具接着一个杯具	Life is a series of disasters following one another.	人生就是一个悲剧接着一个悲剧	Life is a tragedy followed by another tragedy.	life is one tragedy after another
B-HOM-009	HOM	84.39	95.08	10.69	59.85	78.44	18.59	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too godly, unsure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too absurd, unsure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	80.32	85.93	5.61	74.25	66.52	-7.73	0	100	100	都说我做饭神金，今天就做神金给你们吃	They say I'm a cooking genius, so today I'll serve you a divine dish.	都说我做饭神经，今天就做神经给你们吃	They say I cook with a crazy mind, so today I'll serve you a crazy dish.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	85.05	95.85	10.80	61.23	81.53	20.30	0	0	0	世界上最神金的行为	The most god-like behavior in the world.	世界上最神经的行为	The most neurotic behavior.	the most unhinged behavior in the world
B-HOM-012	HOM	76.45	80.60	4.16	51.89	60.71	8.82	0	0	0	被这离谱的主播笑拥了	Mocked by this absurd streamer.	被这离谱的主播笑晕了	I was so laughed out of my mind by this absurd streamer.	I'm dead from this absurd streamer
