uid	category	severity	reasons	src_noisy	hyp_noisy
B-MIX-132	MIX	61.40	xcomet/kiwi Δ disagree by 61.4	天磊：what can I say	What can I say?
B-MIX-145	NEO	49.01	xcomet/kiwi Δ disagree by 49.0	甲亢哥：我DNA动了	DNA moved: I
B-HOM-093	HOM	48.94	xcomet/kiwi Δ disagree by 48.9	蚌不住了	Beggars are not gone.
B-HOM-105	HOM	38.32	xcomet/kiwi Δ disagree by 38.3	兄dei，这么好的猪 你舍得一次性吃完吗（于谦声）	You're right, so this is a good pig. (Yuan Qian)
B-HOM-111	HOM	37.50	xcomet/kiwi Δ disagree by 37.5	扳机歪了，前来还怨	The machine tilted, and he came back blaming.
B-MIX-051	MIX	37.20	xcomet/kiwi Δ disagree by 37.2	被nerf了，变弱了	Fell victim, weakened.
B-NEO-113	NEO	36.22	xcomet/kiwi Δ disagree by 36.2	太真实了，想到的那句话发现他可能听不懂于是在后面加点补丁	That's really true, and thinking of that sentence, I realized he might not understand it, so I added a patch.
B-HOM-034	HOM	35.69	xcomet/kiwi Δ disagree by 35.7	蚌埠住了这也太搞笑了	Bukhara stayed, and it was a bit of a joke.
B-HOM-090	HOM	34.63	xcomet/kiwi Δ disagree by 34.6	香精煎鱼食不食	spiced fish with no food
B-NEO-051	NEO	33.34	xcomet/kiwi Δ disagree by 33.3	互联网嘴替实锤	Internet is replacing reality.
B-MIX-073	MIX	33.25	xcomet/kiwi Δ disagree by 33.2	这个ins风好看	This is a beautiful Instagram style.
B-MIX-009	MIX	32.44	xcomet/kiwi Δ disagree by 32.4	王虹这波演讲直接slay	Bing Hong's speech directly slayed.
B-HOM-023	HOM	31.90	xcomet/kiwi Δ disagree by 31.9; xcomet_noisy 80.5 but NTA miss	你想peach呢，哪有这么好的事	What's with that? Have you got such a good thing?
B-NEO-007	NEO	31.56	xcomet/kiwi Δ disagree by 31.6	杠精无处不在，说啥都要反驳	Wherever there is a lever, there is a place to say anything.
B-NEO-108	NEO	31.07	xcomet/kiwi Δ disagree by 31.1	一想到一睁眼就有倒计时就难绷	I think I woke up with a countdown.
B-PYA-111	PYA	30.13	xcomet/kiwi Δ disagree by 30.1	就说问啥听不到，nnd只带了一个耳机	What's the reason you can't hear? Only one earpiece.
B-PYA-088	PYA	29.10	xcomet/kiwi Δ disagree by 29.1; xcomet_noisy 87.2 but NTA miss	不是，我TM哪来的教材，你在逗我呢	No, I don't have any textbook, and you're making me laugh.
B-HOM-074	HOM	29.04	xcomet/kiwi Δ disagree by 29.0	“雨女无瓜”这么好笑吗是挺好笑的	"""Rain girl with a cucumber"" is quite funny, and it's quite funny."
B-NEO-078	NEO	28.81	xcomet/kiwi Δ disagree by 28.8	哈包穿上衣服不习惯了	Wearing clothes doesn't suit me.
B-HOM-110	HOM	28.54	xcomet/kiwi Δ disagree by 28.5	预计会火，火钳刘明	Estimated to burn, Ming Liang.
B-NEO-055	NEO	27.92	xcomet/kiwi Δ disagree by 27.9	拔草了不买	Bled not bought
B-NEO-036	NEO	27.80	xcomet/kiwi Δ disagree by 27.8	别搁这凡尔赛了，显摆啥呢	Don't waste your time on the French court, what's the point?
B-PYA-079	PYA	27.70	xcomet/kiwi Δ disagree by 27.7	8u🚪什么意思	8u🚪
B-MIX-029	MIX	26.88	xcomet/kiwi Δ disagree by 26.9	在上海街头随性citywalk	Citywalk in Shanghai
B-MIX-143	MIX	26.86	xcomet/kiwi Δ disagree by 26.9	他和背后的 n pc 格格不入	He and the NPC are not at all comfortable with each other.
B-PYA-043	PYA	26.74	xcomet/kiwi Δ disagree by 26.7	zqsg追星好累	Zqsg star crushes me a lot.
B-PYA-055	PYA	26.31	xcomet/kiwi Δ disagree by 26.3	这操作nb啊，大佬带带我	This operation is not okay, please let me know.
B-HOM-071	HOM	26.10	xcomet/kiwi Δ disagree by 26.1	要泥寡,雨女无瓜!	To clay, rain girl without a cucumber!
B-MIX-098	MIX	26.06	xcomet/kiwi Δ disagree by 26.1	别什么过场都搞qte，破坏连贯	What's more, there's no need for a QTE to disrupt the flow.
B-HOM-038	HOM	25.89	xcomet/kiwi Δ disagree by 25.9; xcomet_noisy 98.3 but NTA miss	这个颜色灰常好看	This color is very beautiful.
B-MIX-105	MIX	25.67	xcomet/kiwi Δ disagree by 25.7	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Why do birds fly? Look at my eye, tell me why!
B-HOM-066	HOM	25.67	xcomet/kiwi Δ disagree by 25.7	博主成功把中二拍成沙子了	The host has turned the Chinese Dream into a sandstorm.
B-NEO-062	NEO	25.51	xcomet/kiwi Δ disagree by 25.5; xcomet_noisy 86.8 but NTA miss	香港🇭🇰打车有这么卷吗？又难？	What's the situation like in Hong Kong regarding ride-hailing? Is it too busy and difficult?
B-HOM-084	HOM	25.26	xcomet/kiwi Δ disagree by 25.3	！？雀潮？！	! ?雀潮？！
B-PYA-082	PYA	24.97	xcomet/kiwi Δ disagree by 25.0	咱姐硬生生从良子嘴里抠出3w多粉丝	Hardly got out of Li Xiu's mouth for 30,000 fans.
B-NEO-077	NEO	24.94	xcomet/kiwi Δ disagree by 24.9; xcomet_noisy 85.9 but NTA miss	为什么留子都不爱和老外谈？	Why don't they like talking to foreigners?
B-HOM-125	HOM	24.94	xcomet/kiwi Δ disagree by 24.9; xcomet_noisy 88.5 but NTA miss	上一个视频就是不讲内个	The previous video is not talking about something.
B-HOM-131	HOM	24.93	xcomet/kiwi Δ disagree by 24.9	密码的，很久没笑得这么无语了	The password, for a long time, has made me laugh so funny.
B-PYA-009	PYA	24.81	xcomet/kiwi Δ disagree by 24.8; xcomet_noisy 95.3 but NTA miss	xgg们推荐一下好用的手机呗	They recommend some good phones.
B-NEO-086	NEO	24.68	xcomet/kiwi Δ disagree by 24.7	刘宇宁一周不直播，棚友集体受不了！想念到发疯	Liu Yuning didn't host on Sunday, and the crew members were all exhausted.
B-NEO-106	NEO	24.60	xcomet/kiwi Δ disagree by 24.6; xcomet_noisy 85.3 but NTA miss	这声音绝绝子	This sound is so sweet.
B-HOM-043	HOM	24.09	xcomet/kiwi Δ disagree by 24.1	耗子尾汁，好自为之吧	Self-sufficient, you can do it yourself.
B-PYA-058	PYA	24.04	xcomet/kiwi Δ disagree by 24.0	kdl，这对CP太甜了	kdl, this is so sweet for CP
B-PYA-085	PYA	24.03	xcomet/kiwi Δ disagree by 24.0	想吃肉质Q弹的就买散养老公鸡	Buy a tender, juicy chicken for the elderly.
B-NEO-054	NEO	23.79	xcomet/kiwi Δ disagree by 23.8	被种草了	Came under the influence
B-PYA-050	PYA	23.77	xcomet/kiwi Δ disagree by 23.8	dd我一下	I just said
B-MIX-103	MIX	23.66	xcomet/kiwi Δ disagree by 23.7	知名up主老番茄视频内容不慎跌回五年前的水平	The famous up who uploaded the video content has fallen back to the level of five years ago.
B-NEO-080	NEO	23.48	xcomet/kiwi Δ disagree by 23.5; xcomet_noisy 84.5 but NTA miss	直接破防了家人们	Directly broke the family.
B-MIX-055	MIX	23.40	xcomet/kiwi Δ disagree by 23.4	就是在cp里吃瓜	In the CP, eating out
B-HOM-069	HOM	23.12	xcomet/kiwi Δ disagree by 23.1	现场偷挖被抓,夺笋呐!	Stolen and taken!
B-MIX-084	MIX	22.68	xcomet/kiwi Δ disagree by 22.7	asmr助眠真的有用吗	AsMR helps with sleep.
B-NEO-084	NEO	22.54	xcomet/kiwi Δ disagree by 22.5; xcomet_noisy 84.7 but NTA miss	基操	Operation Base
B-PYA-076	PYA	22.36	xcomet/kiwi Δ disagree by 22.4; xcomet_noisy 87.9 but NTA miss	xswl皇帝的新衣	xswl emperor's new dress
B-HOM-118	HOM	22.35	xcomet/kiwi Δ disagree by 22.4; xcomet_noisy 95.7 but NTA miss	雾草这幕太美了	The scene was so beautiful.
B-HOM-099	HOM	22.30	xcomet/kiwi Δ disagree by 22.3	你们要是给我炮儿玩似了我看什么啊	If you were to play like a cannonball, what would I be?
B-NEO-090	NEO	22.27	xcomet/kiwi Δ disagree by 22.3	应该是的，不然怎么会气到把国粹给说出来了	"""Of course, otherwise how could we say it out loud?"""
B-MIX-126	MIX	22.23	xcomet/kiwi Δ disagree by 22.2	中式恐怖，真的next level	Next-level Chinese terrorism
B-MIX-089	MIX	22.13	xcomet/kiwi Δ disagree by 22.1	或许它真的是福利最好的fps	Perhaps it's the best FPS.
B-HOM-081	HOM	21.95	xcomet/kiwi Δ disagree by 22.0	tree 波Q	tree wave Q
B-MIX-018	MIX	21.61	xcomet/kiwi Δ disagree by 21.6	这个行为好sus，不对劲	This behavior is good, but not bad.
B-HOM-008	HOM	21.55	xcomet/kiwi Δ disagree by 21.6	人生就是一个杯具接着一个杯具	A life is a series of tragedies after another.
B-PYA-042	PYA	21.31	xcomet/kiwi Δ disagree by 21.3; xcomet_noisy 89.2 but NTA miss	yygq什么呢，有话直说不行吗	What's that? Can you say it directly?
B-NEO-058	NEO	21.00	xcomet/kiwi Δ disagree by 21.0	景区打人还理直气壮的，真是绝绝子	The scene was filled with people, and the act was justified with dignity, truly a masterpiece.
B-MIX-039	MIX	20.86	xcomet/kiwi Δ disagree by 20.9	这个GMV变高了	This GMV increased.
B-PYA-056	PYA	20.59	xcomet/kiwi Δ disagree by 20.6; xcomet_noisy 84.7 but NTA miss	这个cp太好磕了	This CP is so good.
B-MIX-138	MIX	20.58	xcomet/kiwi Δ disagree by 20.6	加拉赫上线一年了还在c	Gharar has been online for one year and still in C.
B-MIX-056	MIX	20.51	xcomet/kiwi Δ disagree by 20.5	图样森破，你太天真了	"Draft: ""Draft: The drawing is broken, you're too naive."""
