uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	88.54	93.60	5.06	62.70	82.56	19.86	0	100	100	酱紫也行？那我也试试	Is that okay too? Then I'll give it a try as well.	这样子也行？那我也试试	Is that okay like this? Then I'll try it too.	this works? then let me try too
B-HOM-002	HOM	98.24	98.42	0.18	59.77	78.78	19.01	0	0	0	你怎么酱紫说话，人家会误会的	Why do you talk like that, people will misunderstand.	你怎么这样子说话，人家会误会的	How can you talk like that? People will get the wrong idea.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	99.65	99.79	0.14	81.59	82.78	1.19	0	0	0	各位童鞋注意了，期末考试要来了	Attention everyone, the final exams are coming!	各位同学注意了，期末考试要来了	Attention students, the final exam is coming up.	attention classmates, final exams are coming
B-HOM-004	HOM	86.20	100.00	13.80	76.79	70.21	-6.58	0	0	0	童鞋们帮我看看这道题怎么做	Friends, can you help me see how to do this problem?	同学们帮我看看这道题怎么做	Students, can you help me with this problem?	classmates help me figure out this problem
B-HOM-005	HOM	95.10	97.33	2.24	71.39	82.47	11.07	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, they're so funny!	我真的好喜欢这个博主，太搞笑了	I really like this blogger, they're so funny!	I really like this creator, too funny
B-HOM-006	HOM	95.64	100.00	4.36	59.90	86.19	26.29	100	100	0	你是不是稀饭我？直说嘛	Do you like me? Just say it.	你是不是喜欢我？直说嘛	Do you like me? Just say it.	do you like me? just say it
B-HOM-007	HOM	96.03	98.36	2.33	77.94	82.81	4.87	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another disastrous day; I forgot my keys when I went out.	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	90.44	97.34	6.91	53.35	83.65	30.30	0	100	100	人生就是一个杯具接着一个杯具	Life is just one tragic event after another.	人生就是一个悲剧接着一个悲剧	Life is just one tragedy followed by another.	life is one tragedy after another
B-HOM-009	HOM	82.67	94.56	11.89	54.83	79.07	24.24	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is so ridiculously pay-to-win, I don't even know where to begin laughing.	游戏过于神经，不确定先从哪里笑起	The game is so wild, I don't even know where to begin laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	74.02	86.74	12.73	72.73	64.16	-8.57	0	100	100	都说我做饭神金，今天就做神金给你们吃	Everyone says I'm a culinary god, so today I'll make Shen Jin for you all to eat.	都说我做饭神经，今天就做神经给你们吃	They all say my cooking is crazy, so today I'll make crazy for you to eat.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	81.23	96.62	15.39	63.73	83.07	19.33	0	0	0	世界上最神金的行为	The world's most miraculous act of kindness.	世界上最神经的行为	The world's most neurotic behavior.	the most unhinged behavior in the world
B-HOM-012	HOM	56.86	89.66	32.80	61.25	61.16	-0.09	0	0	0	被这离谱的主播笑拥了	Was hilariously embraced by this outrageous streamer.	被这离谱的主播笑晕了	I was laughing so hard at this ridiculous streamer that I felt like I was going to pass out.	I'm dead from this absurd streamer
B-HOM-013	HOM	64.74	90.82	26.08	59.10	72.15	13.05	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Wow, I went for it! The fruits recommended by the livestream seller are just too bizarre/unreasonable, right?	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm dying of laughter! The bewildering fruit recommended by the livestream seller is just too outrageous.	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	92.05	91.82	-0.23	75.91	78.10	2.18	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by the new Gen Z programmer, seeing this comment almost made me burst out laughing.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new Gen Z programmer, seeing this comment almost made me laugh myself to death.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	85.38	86.24	0.86	49.10	67.16	18.07	0	0	0	考试没复习直接寄，明年再来	Didn't study for the exam, so I'm doomed/failed for sure, I'll try again next year.	考试没复习直接完了，明年再来	If you fail the exam without studying, you're done for; see you next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	56.41	65.78	9.37	41.39	45.61	4.22	0	0	0	火钳流明，这帖子要火	"Brilliant post, this is going to be popular! 

(Or, more colloquially: This post is fire! / This post is going to blow up!)"	火前留名，这帖子要火	Reserving my spot here, this post is going to be popular.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	83.38	97.46	14.08	72.77	84.92	12.15	0	0	0	雀食好笑，不骗你	Bird food is funny, I'm not kidding.	确实好笑，不骗你	It really is funny, I'm not kidding.	it's genuinely funny, no cap
B-HOM-021	HOM	94.48	89.57	-4.91	74.77	48.99	-25.78	0	0	0	沃草，这无人机表演太震撼了	"Wow, this drone show is amazing! 

(or, depending on context/desired tone: Holy cow, this drone show is incredible!)"	我操，这无人机表演太震撼了	"Oh my god, this drone show is amazing! 

**(Note: The original phrase is very vulgar. This translation aims for conveying the *intensity* of the feeling without the offensive language.)**"	holy crap, this drone show is insane
B-HOM-023	HOM	63.42	79.41	15.99	43.52	43.38	-0.14	0	0	0	你想peach呢，哪有这么好的事	You want a peach, where would something so good come from? (or, more colloquially, You want a free peach? Don't dream.)	你想屁吃呢，哪有这么好的事	What are you thinking? There's no such luck.	you're dreaming, how can something that good happen
B-HOM-024	HOM	85.49	97.06	11.57	69.29	84.81	15.52	0	100	100	别虾扯蛋了，老师说的都是真的吗	Stop messing around/fooling around, is everything the teacher said really true?	别瞎扯淡了，老师说的都是真的吗	Stop talking nonsense, is everything the teacher said really true?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	74.74	64.19	-10.55	61.01	51.94	-9.08	0	0	0	先报上自己的分数啊搞辣菜	First, tell us your score, you clumsy oaf!	先报上自己的分数啊搞拉踩	First, share your scores, and stop trying to show off/one-up each other.	dropping your score first before throwing shade smh
B-HOM-026	HOM	34.62	62.74	28.12	34.61	46.87	12.26	0	0	0	蚌埠住了，腾讯这泄密处理速度也太快了吧	"蚌埠住了 means something like ""I'm stunned,"" ""Wow,"" or ""I can't even."" So a natural translation would be:

Wow, Tencent's leak handling speed is incredibly fast! 

Or, more colloquially:

I'm shocked at how quickly Tencent dealt with this leak!"	绷不住了，腾讯这泄密处理速度也太快了吧	"It's falling apart, Tencent's leak handling speed is too fast, isn't it? 

(Or, more colloquially: Things are spiraling, Tencent is moving *way* too fast to contain this leak.)"	I can't hold it in anymore, Tencent's speed in handling this leak is just too fast
B-HOM-027	HOM	78.04	85.06	7.01	73.01	79.38	6.37	0	0	0	嗷利给，西班牙第一了	Go for it, Spain is number one!	奥利给，西班牙第一了	Olé, Spain is number one!	Aigoo Spain took first place let's gooo
B-HOM-028	HOM	70.88	80.76	9.87	49.73	75.83	26.10	0	0	0	这配置针不戳，性价比拉满	This configuration is solid, and the value for money is excellent.	这配置真不错，性价比拉满	This configuration is really good, excellent value for the money.	This setup slaps, value for money off the charts
B-HOM-029	HOM	60.88	50.61	-10.27	52.39	66.30	13.91	0	0	0	赛里木湖这操作针不戳啊，景区打人还能辞退就完事了？	Sayrim Lake, this handling of the situation is surprisingly good, and the scenic area can just fire the person who assaulted someone?	赛里木湖这操作真不错啊，景区打人还能辞退就完事了？	This handling of the Sayram Lake incident is really good; so the scenic area can just fire the person who assaulted someone and that's it?	Sarim Lake's handling is just great, beating people at a scenic spot and just firing them is that it?
B-HOM-030	HOM	84.05	80.58	-3.46	34.04	50.20	16.16	100	0	-100	蚌埠住了，这也太好笑了吧	"I can't hold it in anymore, this is too funny! 

(Or, more colloquially: I'm dying, this is hilarious!)"	绷不住了，这也太好笑了吧	"I can't handle it, this is too funny! 

(Alternatively, depending on context: I'm losing it, this is hilarious!)"	bruh I can't hold it in this is too funny lmao
B-HOM-031	HOM	93.26	90.19	-3.08	77.79	79.89	2.09	0	0	0	卧槽317万年终奖就这么没了？	What the heck! 3.17 million yuan year-end bonus just gone like that?	我操317万年终奖就这么没了？	My god, my 3.17 million yuan year-end bonus is just gone like that?	Wtf, 3.17 million year-end bonus just gone like that?
B-HOM-032	HOM	70.37	92.34	21.97	48.44	76.77	28.33	0	100	100	你就耗子尾汁吧，别折腾了	Just give it up, you're flogging a dead horse.	你就好自为之吧，别折腾了	Just take care of yourself, and stop making things difficult.	watch yourself bro stop messing around
B-HOM-033	HOM	88.83	92.20	3.37	67.73	59.44	-8.29	100	0	-100	王虹这波属实深藏blue了，拿完奖还这么低调	Wang Hong really kept a low profile this time, even after winning the award she's still so modest.	王虹这波属实深藏不露了，拿完奖还这么低调	Wang Hong really kept her talents hidden, and is still so modest even after winning the award.	Wang Hong has truly been hiding her talents, so low-key after winning the award
