uid	category	severity	reasons	src_noisy	hyp_noisy
B-NEO-082	NEO	60.86	xcomet/kiwi Δ disagree by 60.9; xcomet_noisy 91.7 but NTA miss	爷青回	Nostalgia for the past
B-HOM-111	HOM	53.18	xcomet/kiwi Δ disagree by 53.2	扳机歪了，前来还怨	The trigger is crooked, yet he comes to complain.
B-HOM-030	HOM	41.18	xcomet/kiwi Δ disagree by 41.2	蚌埠住了，这也太好笑了吧	Bengbu is a great place to live, isn't it hilarious?
B-MIX-132	MIX	41.12	xcomet/kiwi Δ disagree by 41.1	天磊：what can I say	Tian Lei: What can I say
B-HOM-084	HOM	38.95	xcomet/kiwi Δ disagree by 39.0	！？雀潮？！	What a flock of sparrows!
B-HOM-073	HOM	38.48	xcomet/kiwi Δ disagree by 38.5; xcomet_noisy 94.4 but NTA miss	哈哈哈哈哈哈哈夺笋呐	Hahaha, that's so funny!
B-MIX-058	MIX	38.15	xcomet/kiwi Δ disagree by 38.1	carry全场，带飞	carry the whole game, lead the team to victory
B-PYA-110	PYA	37.48	xcomet/kiwi Δ disagree by 37.5	万恶的zi ben jia	Capitalist exploiters
B-MIX-051	MIX	35.23	xcomet/kiwi Δ disagree by 35.2	被nerf了，变弱了	Nerfed, weakened.
B-HOM-023	HOM	30.93	xcomet/kiwi Δ disagree by 30.9	你想peach呢，哪有这么好的事	You want peaches? There's no such good thing.
B-PYA-079	PYA	30.81	xcomet/kiwi Δ disagree by 30.8; xcomet_noisy 85.3 but NTA miss	8u🚪什么意思	What does 8u🚪 mean?
B-NEO-084	NEO	30.05	xcomet/kiwi Δ disagree by 30.1; xcomet_noisy 97.0 but NTA miss	基操	Basic operations
B-MIX-071	MIX	29.57	xcomet/kiwi Δ disagree by 29.6	法法这期ooc了吧	This episode of Fa Fa is out of character.
B-MIX-105	MIX	29.57	xcomet/kiwi Δ disagree by 29.6	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look into my eyes, tell me why!
B-HOM-089	HOM	28.75	xcomet/kiwi Δ disagree by 28.8	食不食油饼	Does not eat oil pancakes
B-HOM-051	HOM	28.61	xcomet/kiwi Δ disagree by 28.6; xcomet_noisy 85.2 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the women's volleyball match, I was completely stressed out.
B-HOM-047	HOM	28.59	xcomet/kiwi Δ disagree by 28.6; xcomet_noisy 82.2 but NTA miss	窝五碎！！！	Oh my god!
B-MIX-009	MIX	27.84	xcomet/kiwi Δ disagree by 27.8	王虹这波演讲直接slay	Wang Hong's speech directly slayed.
B-MIX-039	MIX	27.41	xcomet/kiwi Δ disagree by 27.4	这个GMV变高了	The GMV has increased.
B-HOM-090	HOM	26.82	xcomet/kiwi Δ disagree by 26.8	香精煎鱼食不食	Fragrant fried fish, eat or not?
B-HOM-038	HOM	26.22	xcomet/kiwi Δ disagree by 26.2	这个颜色灰常好看	This color is really nice.
B-PYA-056	PYA	26.00	xcomet/kiwi Δ disagree by 26.0	这个cp太好磕了	This CP is too adorable to ship.
B-NEO-045	NEO	25.64	xcomet/kiwi Δ disagree by 25.6	他这个人好油腻	He's really oily.
B-PYA-051	PYA	25.34	xcomet/kiwi Δ disagree by 25.3; xcomet_noisy 91.7 but NTA miss	tcl，我真的太菜了	I'm really bad at TCL.
B-NEO-027	NEO	25.08	xcomet/kiwi Δ disagree by 25.1	电子榨菜输出中，午饭点准时到	In the realm of electronic side dishes, lunchtime arrives on schedule.
B-PYA-055	PYA	24.90	xcomet/kiwi Δ disagree by 24.9	这操作nb啊，大佬带带我	This operation is so cool, big brother, please guide me.
B-MIX-128	MIX	24.79	xcomet/kiwi Δ disagree by 24.8	os好想看张桂源也来一期	OS wants to see Zhang Guiyuan also come in an episode.
B-MIX-012	MIX	24.73	xcomet/kiwi Δ disagree by 24.7	i人沦为e人玩具，太真实了	An i-person becomes a toy for an e-person, it's too real.
B-NEO-069	NEO	24.16	xcomet/kiwi Δ disagree by 24.2	内卷太严重了，打工人伤不起	The internal competition is too severe, and the working people can't afford to be hurt.
B-NEO-072	NEO	24.15	xcomet/kiwi Δ disagree by 24.1; xcomet_noisy 89.4 but NTA miss	不是哥们儿	Not dude.
B-NEO-051	NEO	24.01	xcomet/kiwi Δ disagree by 24.0; xcomet_noisy 94.5 but NTA miss	互联网嘴替实锤	Internet mouthpiece confirmed
B-PYA-071	PYA	24.00	xcomet/kiwi Δ disagree by 24.0	xswl一人血书求这个短剧拍真人版	xswl one person's blood-written plea for this short play to be adapted into a live-action version
B-PYA-091	PYA	23.62	xcomet/kiwi Δ disagree by 23.6; xcomet_noisy 87.3 but NTA miss	WC，这都能被发现啊	That's all discoverable.
B-PYA-059	PYA	23.42	xcomet/kiwi Δ disagree by 23.4; xcomet_noisy 83.7 but NTA miss	山航yyds	Shanhang YYDS
B-NEO-059	NEO	23.37	xcomet/kiwi Δ disagree by 23.4	破防了	Broken.
B-MIX-008	MIX	23.16	xcomet/kiwi Δ disagree by 23.2	这套穿搭直接slay全场	This outfit slays the entire room.
B-NEO-062	NEO	22.86	xcomet/kiwi Δ disagree by 22.9; xcomet_noisy 91.9 but NTA miss	香港🇭🇰打车有这么卷吗？又难？	Is taking a taxi in Hong Kong this competitive? Is it that hard?
B-PYA-026	PYA	22.85	xcomet/kiwi Δ disagree by 22.9; xcomet_noisy 83.3 but NTA miss	好好好 好一个kpop拉子(bushi)	Oh my goodness, what a K-pop girl (bushi)
B-NEO-043	NEO	22.58	xcomet/kiwi Δ disagree by 22.6; xcomet_noisy 94.6 but NTA miss	你这个行为真的很下头	Your behavior is really cringey.
B-PYA-069	PYA	22.04	xcomet/kiwi Δ disagree by 22.0	Xswl就说有没有美味大餐吧哈哈哈哈哈哈哈	"Xswl said, ""Well, let's have a delicious meal then! Hahaha!"""
B-NEO-104	NEO	21.97	xcomet/kiwi Δ disagree by 22.0	向佐药水哥梦幻联动！	Collaboration with the herbal medicine water brother in a dream!
B-HOM-081	HOM	21.93	xcomet/kiwi Δ disagree by 21.9	tree 波Q	tree wave Q
