uid	category	severity	reasons	src_noisy	hyp_noisy
B-NEO-080	NEO	54.52	xcomet/kiwi Δ disagree by 54.5	直接破防了家人们	Let's just go straight for it, everyone.
B-MIX-132	MIX	41.12	xcomet/kiwi Δ disagree by 41.1	天磊：what can I say	Tian Lei: What can I say
B-PYA-073	PYA	40.59	xcomet/kiwi Δ disagree by 40.6	pyq，朋友圈见	See you in Moments (WeChat).
B-NEO-059	NEO	38.54	xcomet/kiwi Δ disagree by 38.5; xcomet_noisy 83.7 but NTA miss	破防了	Shattered/Destroyed (emotionally)
B-HOM-090	HOM	38.12	xcomet/kiwi Δ disagree by 38.1	香精煎鱼食不食	Fragrant oil-fried fish, eaten or not eaten.
B-PYA-063	PYA	37.36	xcomet/kiwi Δ disagree by 37.4	fs们太能打了	We're a really strong team.
B-PYA-070	PYA	35.47	xcomet/kiwi Δ disagree by 35.5	nsdd，你说得对	You are right.
B-HOM-071	HOM	35.05	xcomet/kiwi Δ disagree by 35.0	要泥寡,雨女无瓜!	You want to play with water, Water Sprite has no melon!
B-NEO-064	NEO	34.50	xcomet/kiwi Δ disagree by 34.5; xcomet_noisy 94.1 but NTA miss	纯纯的牛马人生	Pure and simple bovine life
B-NEO-046	NEO	34.44	xcomet/kiwi Δ disagree by 34.4	没绷住破绷了	The bandage broke.
B-PYA-078	PYA	34.36	xcomet/kiwi Δ disagree by 34.4	真的栓Q了家人们	Seriously, let's go! (This is a slang phrase, often used humorously to express excitement or a sudden, impulsive decision.)
B-NEO-107	NEO	32.40	xcomet/kiwi Δ disagree by 32.4	假师傅让拜，真师傅反而不让拜，难绷了	It’s really confusing when a fake master encourages you, but a real master doesn’t.
B-MIX-105	MIX	32.17	xcomet/kiwi Δ disagree by 32.2	回答我，鸟为什么会飞？ Look at my eye, tell me why!	Answer me, why do birds fly? Look at my eye, tell me why!
B-HOM-110	HOM	31.36	xcomet/kiwi Δ disagree by 31.4	预计会火，火钳刘明	Expected to be a hit, like a hot poker wielded by Liu Ming.
B-HOM-054	HOM	30.90	xcomet/kiwi Δ disagree by 30.9; xcomet_noisy 94.4 but NTA miss	窝巢，这也太厉害了吧	Wow, that’s incredible!
B-HOM-016	NEO	29.84	xcomet/kiwi Δ disagree by 29.8; xcomet_noisy 91.1 but NTA miss	考试没复习直接寄，明年再来	Without studying, you're doomed; you'll fail, and you'll have to try again next year.
B-NEO-071	NEO	29.32	xcomet/kiwi Δ disagree by 29.3	内卷到头秃，躺平又心慌	Burning out to the point of going bald, lying flat but still feeling anxious.
B-HOM-127	HOM	29.18	xcomet/kiwi Δ disagree by 29.2; xcomet_noisy 88.5 but NTA miss	可以四了这游戏	Let's finish this game.
B-HOM-028	HOM	28.60	xcomet/kiwi Δ disagree by 28.6	这配置针不戳，性价比拉满	This configuration is perfect, it’s incredibly high value for the price.
B-HOM-051	HOM	28.08	xcomet/kiwi Δ disagree by 28.1; xcomet_noisy 84.0 but NTA miss	看完女排比赛我直接鸭梨山大	After watching the volleyball match, I was completely overwhelmed.
B-HOM-074	HOM	27.82	xcomet/kiwi Δ disagree by 27.8	“雨女无瓜”这么好笑吗是挺好笑的	Is “Rain Woman has no melon” that funny? It’s quite funny.
B-NEO-084	NEO	27.35	xcomet/kiwi Δ disagree by 27.4; xcomet_noisy 91.9 but NTA miss	基操	Basic operation
B-PYA-058	PYA	26.62	xcomet/kiwi Δ disagree by 26.6; xcomet_noisy 89.2 but NTA miss	kdl，这对CP太甜了	That's too sweet for CP.
B-MIX-034	MIX	26.42	xcomet/kiwi Δ disagree by 26.4	赛里木湖这波操作太low了，景区管理丢人	Lake Seljimo is really low-class/pathetic with this move, and the scenic area management is shameful.
B-PYA-086	PYA	25.91	xcomet/kiwi Δ disagree by 25.9; xcomet_noisy 80.7 but NTA miss	yysy，两边都看完了	Both sides are finished.
B-HOM-038	HOM	25.89	xcomet/kiwi Δ disagree by 25.9; xcomet_noisy 98.3 but NTA miss	这个颜色灰常好看	This color is very beautiful.
B-PYA-076	PYA	25.61	xcomet/kiwi Δ disagree by 25.6	xswl皇帝的新衣	swear words emperor's new clothes
B-PYA-077	PYA	25.51	xcomet/kiwi Δ disagree by 25.5; xcomet_noisy 94.5 but NTA miss	哈哈哈哈哈xswl	LOL, damn it!
B-HOM-012	HOM	25.32	xcomet/kiwi Δ disagree by 25.3	被这离谱的主播笑拥了	Was laughed at and charmed by this outrageous streamer.
B-MIX-018	MIX	25.24	xcomet/kiwi Δ disagree by 25.2	这个行为好sus，不对劲	This behavior is sus, it’s not right.
B-MIX-022	MIX	25.24	xcomet/kiwi Δ disagree by 25.2	我ship的CP终于官宣了	My CP (romantic pairing) is finally officially announced.
B-HOM-063	HOM	25.20	xcomet/kiwi Δ disagree by 25.2	笑亖了家人们谁懂啊	Laughing, everyone, who knows?
B-PYA-039	PYA	24.76	xcomet/kiwi Δ disagree by 24.8; xcomet_noisy 96.9 but NTA miss	bdjw这个怎么用	How do I use this?
B-HOM-044	HOM	24.68	xcomet/kiwi Δ disagree by 24.7; xcomet_noisy 82.4 but NTA miss	这个操作太虾仁了	This operation is so lame.
B-MIX-058	MIX	24.64	xcomet/kiwi Δ disagree by 24.6	carry全场，带飞	Carry all the way, fly them away
B-HOM-128	HOM	24.02	xcomet/kiwi Δ disagree by 24.0	全体欣赏阴乐	Appreciate the dark music.
B-MIX-111	MIX	23.92	xcomet/kiwi Δ disagree by 23.9	看得ptsd犯了	"It seems like ""ptsd"" is being used as a shorthand for PTSD (Post-Traumatic Stress Disorder). The sentence translates to:

**PTSD flared up/occurred/manifested.**"
