uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	85.08	95.35	10.26	75.97	84.15	8.18	0	0	0	酱紫也行？那我也试试	What about a plum sauce? I'll also try it.	这样子也行？那我也试试	That's okay? I'll try it too.	this works? then let me try too
B-HOM-002	HOM	95.29	96.64	1.35	60.07	75.14	15.07	0	0	0	你怎么酱紫说话，人家会误会的	How could you speak like that, people might misunderstand.	你怎么这样子说话，人家会误会的	How could you speak like that, people might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	82.86	98.01	15.15	59.56	82.57	23.01	0	0	0	各位童鞋注意了，期末考试要来了	All little shoes, pay attention, the final exam is coming.	各位同学注意了，期末考试要来了	Attention, everyone, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	96.54	99.45	2.92	82.05	83.82	1.77	0	100	100	童鞋们帮我看看这道题怎么做	Kids, could you please help me figure out how to solve this problem?	同学们帮我看看这道题怎么做	Classmates, could you help me figure out how to solve this problem?	classmates help me figure out this problem
B-HOM-005	HOM	95.15	99.01	3.87	65.81	82.58	16.77	100	100	0	我真的好稀饭这个博主，太搞笑了	I really love this YouTuber, they are so funny.	我真的好喜欢这个博主，太搞笑了	I really like this YouTuber, it's so funny.	I really like this creator, too funny
B-HOM-006	HOM	84.35	96.09	11.74	62.83	85.65	22.82	0	0	0	你是不是稀饭我？直说嘛	Are you fond of me? Just say so.	你是不是喜欢我？直说嘛	Are you liking me? Just say.	do you like me? just say it
B-HOM-007	HOM	78.51	93.14	14.63	46.66	81.96	35.30	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today is another day of despair.	今天又是悲剧的一天，出门忘带钥匙	Today is another day of tragedy, and I forgot my key when leaving.	another tragic day, forgot my keys going out
B-HOM-008	HOM	90.77	97.67	6.90	57.87	83.74	25.87	100	100	0	人生就是一个杯具接着一个杯具	Life is a series of tragedies followed by another.	人生就是一个悲剧接着一个悲剧	Life is a series of tragedies followed by another.	life is one tragedy after another
B-HOM-009	HOM	96.22	79.13	-17.09	68.45	76.93	8.48	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too absurd, and it's hard to know where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nervous, and it's hard to know where to start laughing from.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	20.96	32.32	11.35	37.89	33.80	-4.09	0	0	0	都说我做饭神金，今天就做神金给你们吃	"I'll translate the sentence into English. The original sentence is: ""都说我做饭神金，今天就做神金给你们吃"" 

The translation is: ""I'll say I'm the cooking god Jin, and today I'll make Jin gold for you to eat."" 

However, the phrase ""做饭神金"" is a bit unclear. It could be a play on words or a specific term in a certain context. If it's a specific term or a nickname, it might need to be kept in the original form or translated appropriately. But based on the given information, the most accurate translation is:

""I'll say I'm the cooking god Jin, and today I'll make Jin gold for you to eat."""	都说我做饭神经，今天就做神经给你们吃	"I'll translate the sentence into English. The original sentence is: ""都说我做饭神经，今天就做神经给你们吃"" 

The translation is: ""I'll tell you I'm cooking, today I'll cook for you."" 

This translation maintains the original meaning and tone of the sentence."	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	87.36	96.03	8.67	57.69	77.62	19.94	0	0	0	世界上最神金的行为	The most divine behavior in the world.	世界上最神经的行为	Most bizarre behavior in the world.	the most unhinged behavior in the world
B-HOM-012	HOM	67.78	78.37	10.59	46.08	52.61	6.53	0	0	0	被这离谱的主播笑拥了	Beamed by this absurd host.	被这离谱的主播笑晕了	Beaten by this absurd host.	I'm dead from this absurd streamer
B-HOM-013	HOM	69.10	88.22	19.12	55.46	61.40	5.94	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	Laughed at! The misleading fruits recommended by the sales主播 are too bizarre!	笑晕了！带货主播推荐的迷惑水果太离谱了吧	Oh no! The misleading fruits recommended by the sales主播 are too bizarre!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	75.55	76.50	0.95	65.00	66.74	1.75	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The new 00s programmer's code is really making me laugh.	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The new 00s programmer's code is really making me laugh.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	73.32	79.98	6.66	61.96	77.28	15.32	0	0	0	考试没复习直接寄，明年再来	Study for the exam first, then send it; come back next year.	考试没复习直接完了，明年再来	The exam was over without revision, I'll come back next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	69.84	77.80	7.95	48.93	71.82	22.89	0	0	0	火钳流明，这帖子要火	Flame钳 lumens, this post will go viral.	火前留名，这帖子要火	Leave a name before the fire, this post must go viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	62.70	83.61	20.91	64.22	78.80	14.58	0	0	0	雀食好笑，不骗你	The sparrow laughed, and it's not a joke, you don't have to believe it.	确实好笑，不骗你	Indeed, it's funny, don't lie to me.	it's genuinely funny, no cap
B-HOM-021	HOM	96.66	98.35	1.68	83.70	85.27	1.57	0	0	0	沃草，这无人机表演太震撼了	Oh my god, this drone performance was absolutely stunning.	我操，这无人机表演太震撼了	Oh my god, this drone performance was absolutely stunning.	holy crap, this drone show is insane
B-HOM-023	HOM	82.42	89.61	7.18	73.39	60.35	-13.04	0	0	0	你想peach呢，哪有这么好的事	Do you want a peach? How could there be such a good thing?	你想屁吃呢，哪有这么好的事	What are you even thinking? There's no such thing as a good thing like that.	you're dreaming, how can something that good happen
B-HOM-024	HOM	80.79	91.29	10.50	70.87	80.20	9.33	0	0	0	别虾扯蛋了，老师说的都是真的吗	Don't be silly, teacher, are you saying everything is true?	别瞎扯淡了，老师说的都是真的吗	Don't be silly, are the teacher's words all true?	stop talking BS, is what the teacher said even true
B-HOM-025	HOM	74.17	73.04	-1.13	53.64	59.84	6.20	0	0	0	先报上自己的分数啊搞辣菜	First, report your scores.	先报上自己的分数啊搞拉踩	First report your scores, okay?	dropping your score first before throwing shade smh
