uid	category	xcomet_noisy	xcomet_clean	xcomet_d	kiwi_noisy	kiwi_clean	kiwi_d	nta_noisy	nta_clean	nta_d	src_noisy	hyp_noisy	src_clean	hyp_clean	ref_en
B-HOM-001	HOM	88.73	95.32	6.59	63.78	83.72	19.94	0	0	0	酱紫也行？那我也试试	That's okay too? Then I'll try it too.	这样子也行？那我也试试	That's okay? Then I'll try too.	this works? then let me try too
B-HOM-002	HOM	93.80	99.45	5.64	60.03	81.82	21.79	0	0	0	你怎么酱紫说话，人家会误会的	How can you talk like that, people will get confused.	你怎么这样子说话，人家会误会的	Why do you speak like that? Others might misunderstand.	why do you talk like that, people will misunderstand
B-HOM-003	HOM	98.84	97.62	-1.22	82.06	83.17	1.11	100	0	-100	各位童鞋注意了，期末考试要来了	All classmates, pay attention, the final exam is coming	各位同学注意了，期末考试要来了	Everyone, pay attention, the final exam is coming.	attention classmates, final exams are coming
B-HOM-004	HOM	96.73	78.68	-18.05	82.85	66.32	-16.53	0	0	0	童鞋们帮我看看这道题怎么做	Kids, help me figure out how to solve this problem	同学们帮我看看这道题怎么做	Please help me check how to solve this problem,同学们.	classmates help me figure out this problem
B-HOM-005	HOM	96.82	96.44	-0.38	74.10	83.11	9.01	100	100	0	我真的好稀饭这个博主，太搞笑了	I really like this blogger, he's too funny	我真的好喜欢这个博主，太搞笑了	I really like this blogger a lot; they're so funny.	I really like this creator, too funny
B-HOM-006	HOM	77.23	98.72	21.49	69.00	85.58	16.58	0	100	100	你是不是稀饭我？直说嘛	Are you into me? Just say it straight.	你是不是喜欢我？直说嘛	Do you like me? Just say it straight.	do you like me? just say it
B-HOM-007	HOM	94.10	98.36	4.26	73.44	82.81	9.36	0	100	100	今天又是杯具的一天，出门忘带钥匙	Today was another day of mishaps, forgetting to bring the keys when leaving the house	今天又是悲剧的一天，出门忘带钥匙	Today is another tragic day, I forgot my keys when I went out.	another tragic day, forgot my keys going out
B-HOM-008	HOM	81.90	96.81	14.91	48.74	83.83	35.08	0	100	100	人生就是一个杯具接着一个杯具	Life is one cup disaster after another.	人生就是一个悲剧接着一个悲剧	Life is a tragedy after another tragedy.	life is one tragedy after another
B-HOM-009	HOM	92.13	91.17	-0.96	71.64	79.37	7.73	0	0	0	游戏过于神金，不确定先从哪里笑起	The game is too amazing, unsure where to start laughing.	游戏过于神经，不确定先从哪里笑起	The game is too nerve-wracking; unsure where to start laughing.	this game is so unhinged, not sure where to start laughing
B-HOM-010	HOM	74.14	93.35	19.21	73.22	70.64	-2.58	0	100	100	都说我做饭神金，今天就做神金给你们吃	They all say I'm a cooking god, so today I'll make god food for you to eat.	都说我做饭神经，今天就做神经给你们吃	They all say I'm crazy when it comes to cooking, so today I'll cook something really crazy for you.	y'all say I'm crazy in the kitchen, so today I'm cooking crazy for you
B-HOM-011	HOM	87.39	91.75	4.36	62.13	82.61	20.48	0	0	0	世界上最神金的行为	The most divine and awesome behavior in the world	世界上最神经的行为	The most neurotic behavior in the world	the most unhinged behavior in the world
B-HOM-012	HOM	70.47	77.64	7.17	52.46	70.33	17.87	0	0	0	被这离谱的主播笑拥了	Was laughed at by this absurd streamer	被这离谱的主播笑晕了	I was so stunned by this ridiculous streamer's laughter that I fainted.	I'm dead from this absurd streamer
B-HOM-013	HOM	63.35	92.65	29.30	50.91	74.41	23.50	0	0	0	笑拥了！带货主播推荐的迷惑水果太离谱了吧	"Laughed at the ""拥了""! The confusing fruits recommended by live-streaming influencers are absolutely ridiculous."	笑晕了！带货主播推荐的迷惑水果太离谱了吧	I'm laughing so hard! The confusing fruits recommended by the live-streaming sales host are absolutely ridiculous!	I’m dying laughing! Those weird fruits promoted by live stream sales hosts are ridiculous.
B-HOM-014	HOM	85.76	87.59	1.83	71.80	78.55	6.75	0	0	0	新来的00后程序员写的代码，看到这段注释真的快把我笑拥了	The code written by a new 00s generation programmer, seeing this comment really almost made me laugh myself into a fit	新来的00后程序员写的代码，看到这段注释真的快把我笑晕了	The code written by the new 00s-born programmer made me almost faint from laughing when I saw this comment.	the new Gen Z programmer's code, seeing this comment almost killed me laughing
B-HOM-016	NEO	76.44	78.00	1.56	57.74	72.87	15.13	0	0	0	考试没复习直接寄，明年再来	Failed the exam without reviewing, just give up, come back next year	考试没复习直接完了，明年再来	I didn't review for the exam and just finished it; I'll take it again next year.	didn't study for the exam, it's over, see you next year
B-HOM-018	HOM	73.70	84.67	10.97	48.63	58.48	9.85	0	0	0	火钳流明，这帖子要火	Fire钳流明, this post is going to go viral	火前留名，这帖子要火	Leave a name before the post goes viral.	leaving a name before this blows up, this post is about to go viral
B-HOM-019	HOM	61.17	86.79	25.63	50.29	81.38	31.09	0	0	0	雀食好笑，不骗你	It's funny to eat birds, don't deceive you	确实好笑，不骗你	It's really funny, don't worry.	it's genuinely funny, no cap
B-HOM-021	HOM	97.43	97.65	0.22	82.00	84.71	2.71	0	100	100	沃草，这无人机表演太震撼了	Wow, this drone show was really impressive	我操，这无人机表演太震撼了	Damn, that drone show was amazing!	holy crap, this drone show is insane
